cast,Number_MoviesShows,score
 Akshay Oberoi,4,31.25
 Akshaye Khanna,3,67.66666666666667
 Al Edmundsen,1,9.0
 Al Foster,1,39.0
 Al Pacino,2,56.0
 Al Sharpton,1,23.0
 Al Sloey,1,1.0
 Al Tantay,2,20.5
 Ala Riani,1,80.0
 Ala' Hanani,1,54.0
 Alain Blazquez,1,66.0
 Alain Françon,1,47.0
 Alaina Huffman,1,61.0
 Alan Alda,2,80.5
 Alan Arkin,3,62.333333333333336
 Alan Bates,2,57.5
 Alan Blumenfeld,1,63.0
 Alan Cumming,4,49.5
 Alan Dale,2,63.0
 Alan Devlin,1,55.0
 Alan Dinehart,1,62.0
 Alan Fawcett,1,44.0
 Alan Hewitt,1,50.0
 Alan Hopgood,1,57.0
 Alan Ladd,1,66.0
 Alan Mandell,1,78.0
 Alan Marriott,1,18.0
 Alan Mowbray,1,49.0
 Alan Oppenheimer,1,64.0
 Alan Powell,1,28.0
 Alan Rickman,2,68.5
 Alan Roberts,1,73.0
 Alan Rocha,1,42.0
 Alan Sabbagh,1,28.0
 Alan Thicke,2,26.5
 Alan Tudyk,3,67.33333333333333
 Alan Vint,1,3.0
 Alan Williams,1,67.0
 Alana Haim,1,72.0
 Alana Husband,1,32.0
 Alanna Ubach,2,66.0
 Alanta Potjes,1,35.0
 Alastair Mackenzie,1,41.0
 Alba Gaïa Kraghede Bellugi,1,74.0
 Alba Ribas,1,70.0
 Alba Rohrwacher,1,82.0
 Albert Baró,1,88.0
 Albert Brooks,2,60.5
 Albert Conti,1,9.0
 Albert Evans,1,37.0
 Albert Finney,1,58.0
 Albert Hall,1,57.0
 Albert Hammond Jr.,1,62.0
 Albert Hockmeister,1,3.0
 Albert Joe Medina Jr.,1,76.0
 Albert Ribalta,1,16.0
 Albert Roberts,1,39.0
 Alberto Buccolini,1,24.0
 Alberto Cardeño,1,32.0
 Alberto Di Stasio,1,22.0
 Alberto Estrella,1,58.0
 Alberto Guerra,2,44.5
 Alberto Jo Lee,1,59.0
 Alberto López,1,46.0
 Alberto San Juan,1,67.0
 Albin Grenholm,1,80.0
 Albrecht Schuch,1,83.0
 Alden Ehrenreich,2,71.5
 Alden Richards,1,48.0
 Aldo Ray,1,17.0
 Aldo Tansani,1,9.0
 Aldís Amah Hamilton,1,72.0
 Alec Baldwin,3,51.666666666666664
 Alec Guinness,1,62.0
 Alec Mapa,1,52.0
 Alec McCowen,1,42.0
 Alec Wilson,1,40.0
 Aleck Bovick,1,13.0
 Aleida Guevara,1,79.0
 Alejandra Flechner,1,45.0
 Alejandra Gomez,1,78.0
 Alejandra Onieva,1,66.0
 Alejandra Yañez,1,10.0
 Alejandro Aguilar,1,45.0
 Alejandro Awada,1,65.0
 Alejandro Calva,2,36.5
 Alejandro Carro,1,11.0
 Alejandro Castiglioni,1,25.0
 Alejandro Durán,1,24.0
 Alejandro Goic,2,68.5
 Alejandro Gutiérrez,1,27.0
 Alejandro Otero,1,62.0
 Alejandro Patiño,1,64.0
 Alejandro Puente,1,45.0
 Alejandro Rojas,1,16.0
 Alejandro Speitzer,1,61.0
 Alejandro Suárez,1,19.0
 Alejandro Urdapilleta,1,62.0
 Alejandro Vera,1,42.0
 Alejandro Villeli,1,31.0
 Alejandro Ávila,1,42.0
 Aleks Paunovic,1,43.0
 Aleksandar Jovanovic,1,38.0
 Aleksander Bednarz,1,17.0
 Aleksander Jovanovic,1,18.0
 Aleksandr Baluev,1,53.0
 Aleksandr Khvylya,1,75.0
 Aleksandr Pikalov,1,54.0
 Aleksandra Lisyutina,1,75.0
 Aleksey Chadov,1,44.0
 Aleksey Gorbunov,1,19.0
 Aleksey Guskov,1,66.0
 Aleksey Serebryakov,1,73.0
 Alessandra De Luca,1,10.0
 Alessandra Denegri,1,8.0
 Alessandra Negrini,1,80.0
 Alessandra Rosaldo,1,70.0
 Alessandra Torresani,1,50.0
 Alessandra de Rossi,1,14.0
 Alessandro Averone,1,54.0
 Alessandro Juliani,1,15.0
 Alessandro Nivola,4,66.0
 Alessandro Tedeschi,2,57.0
 Alessia Cara,1,70.0
 Alessia Giuliani,1,24.0
 Alessio Boni,1,48.0
 Alessio Praticò,1,54.0
 Alessio Scalzotto,1,49.0
 Alessio Valentini,1,56.0
 Alex Abbad,2,19.0
 Alex Barima,1,54.0
 Alex Biglane,1,54.0
 Alex Borstein,1,73.0
 Alex Brendemühl,1,61.0
 Alex Brown,1,76.0
 Alex Cain,1,9.0
 Alex Calloway,1,84.0
 Alex Carroll,1,55.0
 Alex Carter,1,35.0
 Alex Datcher,1,50.0
 Alex Dimitriades,1,69.0
 Alex Dobrenko,1,78.0
 Alex Feldman,1,40.0
 Alex Ferris,1,62.0
 Alex Fong,1,22.0
 Alex Gonzaga,1,5.0
 Alex Gonzalez,1,56.0
 Alex Hassell,1,53.0
 Alex Hibbert,1,85.0
 Alex House,1,25.0
 Alex Jennings,2,80.0
 Alex Karpovsky,1,45.0
 Alex Kingston,1,74.0
 Alex Lifeson,1,66.0
 Alex Lora,1,22.0
 Alex McArthur,1,60.0
 Alex Medina,1,14.0
 Alex Meraz,1,57.0
 Alex Neuberger,1,42.0
 Alex Neustaedter,2,57.0
 Alex Papps,1,42.0
 Alex Pettyfer,1,61.0
 Alex Reid,2,80.0
 Alex Scott,1,68.0
 Alex Sharp,1,79.0
 Alex Sol??s,1,76.0
 Alex Zahara,2,38.0
 Alexa Adeosun,1,61.0
 Alexa Chung,1,59.0
 Alexa Davalos,1,50.0
 Alexa Ilacad,1,13.0
 Alexa Nisenson,1,63.0
 Alexa Pano,1,52.0
 Alexa PenaVega,1,59.0
 Alexa Vega,1,57.0
 Alexander Babu,1,35.0
 Alexander Bello,1,72.0
 Alexander Calvert,1,79.0
 Alexander Carroll,1,29.0
 Alexander Conti,1,46.0
 Alexander Doré,1,69.0
 Alexander Garganera,1,39.0
 Alexander Gould,1,59.0
 Alexander Holtmann,2,47.0
 Alexander John,1,18.0
 Alexander Koch,1,53.0
 Alexander Ludwig,2,47.5
 Alexander Martin,1,56.0
 Alexander Morton,1,74.0
 Alexander Peleg,1,60.0
 Alexander Scheer,1,58.0
 Alexander Skarsgård,1,56.0
 Alexander Strobele,1,53.0
 Alexandra Carter,1,64.0
 Alexandra Daddario,2,62.0
 Alexandra Jiménez,6,63.166666666666664
 Alexandra Lyon,1,28.0
 Alexandra Maria Lara,2,48.5
 Alexandra Neil,1,54.0
 Alexandra Newick,1,28.0
 Alexandre Arbatt,1,37.0
 Alexandre Harough,1,40.0
 Alexandre Willaume,1,72.0
 Alexei Kravchenko,1,28.0
 Alexei Panin,1,28.0
 Alexei Sayle,1,67.0
 Alexey Tritenko,1,59.0
 Alexi Melvin,1,60.0
 Alexia Rasmussen,1,18.0
 Alexis Johnson,1,38.0
 Alexis Louder,1,8.0
 Alexis Smith,1,69.0
 Alexis Sánchez,1,10.0
 Alexx Ekubo,1,59.0
 Alexxis Lemire,1,11.0
 Alexz Johnson,1,54.0
 Alfonso Agra,1,70.0
 Alfonso Cuaron,1,24.0
 Alfonso Herrera,2,65.5
 Alfonso Sánchez,1,46.0
 Alfonso Torregrosa,1,35.0
 Alfre Woodard,5,68.6
 Alfre Woodward,1,66.0
 Alfred Molina,6,54.5
 Alfredo Cerrone,1,68.0
 Ali,1,49.0
 Ali Afshar,1,57.0
 Ali Alshehabi,1,16.0
 Ali Azmat,1,46.0
 Ali B.,1,48.0
 Ali Badshah,1,81.0
 Ali El Sherif,1,48.0
