cast,Number_MoviesShows,score
 Morven Christie,1,63.0
 Mos Def,2,60.5
 Moses Chan,1,33.0
 Mosharraf Karim,1,12.0
 Motomu Kiyokawa,2,69.0
 Mottai Rajendran,1,9.0
 Mouli,1,35.0
 Mouni Roy,3,41.333333333333336
 Moushumi Chatterjee,2,23.0
 Moussa Maaskri,1,53.0
 Mozhan Marnò,1,66.0
 Mpho Koaho,1,60.0
 Mr. Lawrence,1,69.0
 Mridul Sharma,1,80.0
 Mrunal Jadhav,1,80.0
 Mrunal Thakur,1,35.0
 Mu Xuan Cheng,1,36.0
 Mugdha Godse,2,36.0
 Mugihito,1,87.0
 Muguet Franc,1,52.0
 Muhammad Ali,1,75.0
 Muhand Alsaleh,1,18.0
 Muharrem Bayrak,1,44.0
 Muireann D'Arcy,1,36.0
 Mukesh Chhabra,2,48.5
 Mukesh Rishi,2,25.5
 Mukesh Tiwari,2,50.5
 Mulie Jarju,1,28.0
 Mumait Khan,1,12.0
 Mumtaz Sorcar,1,60.0
 Munetaka Aoki,1,80.0
 Munir Kabani,1,70.0
 Munish Makhija,1,35.0
 Munishkanth,1,61.0
 Munivenkatapa,1,36.0
 Murali Gopy,1,44.0
 Murali Mohan,1,9.0
 Murari Kumar,1,69.0
 Murat Arkin,1,58.0
 Murat Seviş,1,25.0
 Murathan Muslu,1,60.0
 Murici Lima,1,77.0
 Muriel Hofmann,1,49.0
 Murli Sharma,4,42.0
 Murray Bartlett,1,69.0
 Murray Hamilton,2,67.5
 Murugadoss,1,38.0
 Mushtaq Khan,2,27.0
 Muskkaan Jaferi,2,30.5
 Mustafa Haridi,1,28.0
 Musthafa,1,43.0
 Mutang Urud,1,24.0
 Muthukumar,1,25.0
 Mutsumi Sasaki,1,83.0
 Mutsumi Tamura,1,82.0
 MyAnna Buring,2,76.5
 Mya Lewis,1,53.0
 Mya Taylor,1,77.0
 Mya-Lecia Naylor,1,12.0
 Mykel Shannon Jenkins,1,72.0
 Myko Olivier,1,17.0
 Myles Evans,1,82.0
 Mylène Jampanoï,1,37.0
 Myndy Crist,1,53.0
 Myra Karn,1,58.0
 Myriam Djeljeli,1,34.0
 Myrna Velasco,1,42.0
 Mysskin,1,76.0
 Mystic Inscho,1,73.0
 Myung-Ryul Nam,2,58.5
 Mélanie Bernier,1,29.0
 Mélanie Laurent,2,66.0
 Mélanie Thierry,1,74.0
 Mía Maestro,1,40.0
 Mónica Antonópulos,2,39.0
 Mónika Balsai,1,61.0
 Müfit Kayacan,1,74.0
 M・A・O,3,56.0
 NIGEL DE BRULIER,1,43.0
 Na In-woo,1,60.0
 Na Moon-hee,1,76.0
 Nabeel Ahmad Alkoni,1,31.0
 Nabil Issa,1,8.0
 Nabil Mallat,1,74.0
 Nabil Massad,1,69.0
 Nabila Zeitouni,1,19.0
 Nacho Fresneda,2,45.0
 Nacho San José,1,34.0
 Nacho Sánchez,1,70.0
 Nada Alshehry,1,18.0
 Nadeem Jafri,1,13.0
 Nadeem Rimawi,1,12.0
 Nadezhda Markina,1,48.0
 Nadhiya,1,49.0
 Nadia Dajani,1,51.0
 Nadia Lotfi,1,27.0
 Nadia Townsend,1,57.0
 Nadim Abou Samra,1,20.0
 Nadim Mushahwar,1,12.0
 Nadine Crocker,1,36.0
 Nadine Labaki,1,38.0
 Nadine Lustre,1,9.0
 Nadine Marshall,1,69.0
 Nadine Nassib Njeim,1,34.0
 Nadine Sauter,1,52.0
 Nadine Velazquez,2,38.0
 Nadir Sarıbacak,1,44.0
 Nadow Lin,1,37.0
 Nafessa Williams,1,28.0
 Nafisa Ali,1,65.0
 Nagabhushana,1,7.0
 Nagesh Jaikumar,1,7.0
 Nagua Fouad,1,6.0
 Nagwa Ibrahim,1,48.0
 Nahoko Yoshimoto,1,55.0
 Nailia Harzoune,1,45.0
 Naina Sareen,1,39.0
 Nakai Takawira,1,35.0
 Nakia Burrise,2,47.5
 Nam Da-reum,1,50.0
 Nam Gyu-ri,1,21.0
 Nam Joo-hyuk,5,65.2
 Nam Mun-cheol,1,43.0
 Nam Ron,1,37.0
 Namit Das,3,55.0
 Nan Martin,1,67.0
 Nana Gbewonyo,1,72.0
 Nana Mensah,1,74.0
 Nana Mizuki,1,57.0
 Nana Patekar,3,52.0
 Nanako Mori,2,74.5
 Nancy Cartwright,1,16.0
 Nancy Fish,1,51.0
 Nancy Kwan,2,33.5
 Nancy Robertson,2,61.5
 Nancy Stafford,1,44.0
 Nancy Walker,1,63.0
 Nancy Walters,1,52.0
 Nandha,2,31.5
 Nandini Vaid,1,20.0
 Nandita Das,1,17.0
 Nanditha Swetha,1,9.0
 Nandu Madhav,1,35.0
 Nandu Pol,1,4.0
 Nao Albet,1,59.0
 Nao Toyama,2,51.5
 Naomi Andrews,1,24.0
 Naomi Radcliffe,1,70.0
 Naomi Sequeira,1,50.0
 Naomi Watts,2,38.0
 Naomie Harris,3,67.0
 Naoya Uchida,1,83.0
 Napoleon Highbrou,1,49.0
 Narain,1,39.0
 Narayani Shastri,1,4.0
 Narcisse Mame,1,60.0
 Narein,1,35.0
 Narendra Jetley,1,10.0
 Narendra Jha,4,57.75
 Narendran,1,9.0
 Naresh Agastya,1,46.0
 Narucha Chaimareung,1,46.0
 Naseeruddin Shah,8,48.375
 Nash Edgerton,1,60.0
 Nash Grier,1,44.0
 Nasim Pedrad,1,43.0
 Nasir Bilal Khan,1,21.0
 Naslen,1,44.0
 Nassar,7,40.57142857142857
 Nasser,5,23.0
 Nassim Lyes,1,19.0
 Nastassia Villasana,1,69.0
 Nastassja Kinski,1,35.0
 Nat Faxon,1,46.0
 Nat Sakdatorn,1,11.0
 Natali Broods,1,83.0
 Natali Yura,1,61.0
 Natalia Cigliuti,1,38.0
 Natalia Dontcheva,1,62.0
 Natalia Dyer,3,49.666666666666664
 Natalia Dzyublo,1,22.0
 Natalia Mann,1,57.0
 Natalia Reyes,1,22.0
 Natalia Rodríguez,1,66.0
 Natalia Tena,1,44.0
 Natalia Téllez,1,14.0
 Natalia de Molina,1,65.0
 Natalie Anderson,1,68.0
 Natalie Desselle,1,38.0
 Natalie Dormer,2,65.5
 Natalie Eva Marie,1,42.0
 Natalie Gavin,1,14.0
 Natalie Gold,1,49.0
 Natalie Hall,1,35.0
 Natalie Krill,1,48.0
 Natalie Lander,1,7.0
 Natalie Lisinska,1,65.0
 Natalie Martinez,1,55.0
 Natalie Mendoza,1,77.0
 Natalie Portman,1,58.0
 Natalie Rees,1,24.0
 Natalie Schafer,2,42.0
 Natalie Wood,1,84.0
 Natalie Zea,1,66.0
 Natalino Balasso,1,82.0
 Natalya Fateeva,1,73.0
 Natalya Sumskaya,1,54.0
 Natasa Dorcic,1,29.0
 Natasa Janjic,1,29.0
 Natasha Bassett,1,14.0
 Natasha Goubskaya,1,50.0
 Natasha Henstridge,1,48.0
 Natasha Leggero,2,65.5
 Natasha Little,3,43.666666666666664
 Natasha Liu Bordizzo,1,52.0
 Natasha Lyonne,4,48.25
 Natasha Paczkowski,1,58.0
 Natasha Rastogi,2,57.5
 Natasha Richardson,2,61.0
 Natasha Thahane,1,72.0
 Natasha Wanganeen,1,62.0
 Natasha Zaborski,1,10.0
 Natassha,2,18.0
 Natasza Urbańska,1,40.0
 Nate Corddry,2,29.0
 Nate Mooney,2,55.5
 Nate Parker,2,63.5
 Nate Torrence,1,82.0
 Nathalie Baye,1,67.0
 Nathalie Boltt,1,79.0
 Nathalie Cox,1,33.0
 Nathalie Emmanuel,1,38.0
 Nathalie Kelley,1,70.0
 Nathalie Love,1,39.0
 Nathalie Morris,1,33.0
 Nathan Blair,1,56.0
 Nathan Fillion,2,56.0
 Nathan Gamble,1,34.0
 Nathan Jones,1,26.0
 Nathan Lane,1,61.0
 Nathan Lee Graham,1,64.0
 Nathan Moore,1,47.0
 Nathan Parsons,1,67.0
 Nathan Phillips,1,40.0
 Nathan Rippy,1,69.0
 Nathan Smith,1,28.0
 Nathan Spiteri,1,5.0
 Nathan Stephenson,1,24.0
 Nathan Wetherington,1,37.0
 Nathaniel Buzolic,1,45.0
 Nathaniel Dean,1,19.0
 Nathaniel J. Potvin,1,56.0
 Nathaniel Lee,1,39.0
 Nathaniel Lee Jr.,1,39.0
 Nathaniel Marston,1,62.0
 Nathaniel Parker,2,45.0
 Natsuki Hanae,1,43.0
 Natsuki Kawamura,2,43.5
 Natsumi Fujiwara,1,83.0
 Nattalyee Randall,1,18.0
 Naturi Naughton,1,50.0
 Natàlia Barrientos,1,14.0
 Natália Rosa,1,41.0
 Nauheed Cyrusi,1,18.0
 Nausicaa Bonnín,1,54.0
 Navas Vallikkunnu,1,44.0
 Naveen Andrews,3,61.333333333333336
 Naveen Kasturia,1,18.0
 Naveen Waqar,1,35.0
 Navi Rawat,1,77.0
 Navid Negahban,2,52.5
 Navin Nischol,1,13.0
 Navin Prabhakar,1,35.0
 Navneet Nishan,1,45.0
 Navni Parihar,2,38.5
 Nawaf Alshubaili,1,49.0
 Nawazuddin Siddiqui,6,57.333333333333336
 Nayan Shukla,1,18.0
 Nayanthara,5,37.8
 Nayef Naji,1,19.0
 Nayobe Nzainab,1,48.0
 Nayyar Ejaz,3,16.333333333333332
 Nazareno Casero,1,24.0
 Nazeem Hussain,1,43.0
 Nazriya Nazim,1,59.0
 Naël Rabia,1,60.0
 Ncuti Gatwa,1,85.0
 Ndamo Damaris,1,14.0
 Ne-Yo,1,44.0
 Neal McDonough,3,50.333333333333336
 Neba Godwill Awantu,1,14.0
 Necro,1,79.0
 Ned Beatty,1,41.0
 Ned Bellamy,1,29.0
 Ned Dennehy,1,44.0
 Ned Eisenberg,1,72.0
 Ned Martel,1,40.0
 Ned Sparks,1,6.0
 Nedal El Shafey,1,13.0
 Nedrick Young,1,7.0
 Neel Tyagi,1,17.0
 Neela Khedkar,1,76.0
 Neelima Azim,1,41.0
 Neelu Kohli,2,23.5
 Neena Gupta,4,46.5
 Neena-Sinaii Simpo,1,10.0
 Neeraj Kabi,3,70.66666666666667
 Neeraj Khetarpal,1,38.0
 Neerja Naik,1,50.0
 Neeru Bajwa,1,77.0
 Neeta Mohindra,1,31.0
 Neeti Palta,1,30.0
 Neetu Chandra,1,60.0
 Neetu Singh,3,47.333333333333336
 Neha,1,36.0
 Neha Bam,1,27.0
 Neha Dhupia,8,47.5
 Neha Hinge,1,29.0
 Neha Sharma,2,32.0
 Nehemiah Persoff,1,33.0
 Neide Vieira,1,21.0
 Neil Bhoopalam,3,47.666666666666664
 Neil Brown Jr.,3,50.333333333333336
 Neil Cole,1,5.0
 Neil Crone,1,64.0
 Neil Davis,1,3.0
 Neil Kopit,1,50.0
 Neil Maskell,1,55.0
 Neil Napier,1,69.0
 Neil Nitin Mukesh,4,50.0
 Neil Patrick Harris,4,54.0
 Neil Ross,2,33.5
 Neil Sandilands,1,82.0
 Neil Stuke,1,59.0
 Neils Coleta,1,36.0
 Nekhebet Juch,1,63.0
 Nekhebet Kum Juch,1,49.0
 Nell Tiger Free,1,68.0
 Nell Verlaque,1,73.0
 Nellie McKay,1,60.0
 Nelsan Ellis,3,56.0
 Nelson J Davis,1,61.0
 Nelson Xavier,1,64.0
 Nemo Schiffman,1,43.0
 Nergis Öztürk,2,35.5
 Nestor Serrano,2,32.5
 Neta Riskin,1,60.0
 Neve Campbell,3,53.666666666666664
 Neville Archambault,1,52.0
 Neville Brand,1,67.0
 Newell Alexander,1,31.0
 Newt Gingrich,1,27.0
 Nguyen Lam Thao Tam,1,17.0
 Nguyen Ngoc Huyen Dieu,1,17.0
 Ni Yan,1,33.0
 Nia Jervier,1,50.0
 Nia Long,3,71.33333333333333
 Nia Peebles,1,10.0
 Nia Vardalos,1,40.0
 Niall Hayes,1,70.0
 Niall Horan,1,68.0
 Niall MacGinnis,1,20.0
 Nic Novicki,1,21.0
 Nicholas Alexander,1,52.0
 Nicholas Art,1,58.0
 Nicholas Ball,1,74.0
 Nicholas Braun,3,53.333333333333336
 Nicholas Brendan,1,45.0
 Nicholas Brendon,1,12.0
 Nicholas Campbell,3,59.666666666666664
 Nicholas Colasanto,1,87.0
 Nicholas Farrell,2,47.0
 Nicholas Galitzine,1,58.0
 Nicholas Hamilton,1,73.0
 Nicholas Hoult,1,74.0
 Nicholas James Reilly,1,37.0
 Nicholas Joy,1,21.0
 Nicholas Kitsopoulos,1,17.0
 Nicholas Logan,1,59.0
 Nicholas Ofczarek,1,13.0
 Nicholas Pryor,1,64.0
 Nicholas Rowe,1,79.0
 Nicholas Saputra,1,30.0
 Nicholas Tucci,1,32.0
 Nicholas Woodeson,1,59.0
 Nichole Galicia,1,84.0
 Nicholle Tom,1,51.0
 Nick Allan,1,38.0
 Nick Baillie,1,22.0
 Nick Bateman,1,25.0
 Nick Bird,1,60.0
 Nick Champa,1,10.0
 Nick Chinlund,2,63.0
 Nick Devlin,1,46.0
 Nick Errato,1,16.0
 Nick Frost,4,63.0
 Nick Gomez,2,43.5
 Nick Jonas,1,44.0
 Nick Kroll,4,57.75
 Nick Lashaway,1,11.0
 Nick Loeb,1,20.0
 Nick Mancuso,1,66.0
 Nick Manusco,1,16.0
 Nick Marcq,1,79.0
 Nick Mohammed,1,69.0
 Nick Moran,2,74.0
 Nick Nolte,6,59.333333333333336
 Nick Offerman,4,70.25
 Nick Reding,1,74.0
 Nick Robinson,3,47.333333333333336
 Nick Sagar,2,57.0
 Nick Searcy,5,57.4
 Nick Spano,1,60.0
 Nick Stahl,2,34.0
 Nick Swardson,6,51.166666666666664
 Nick Wittman,1,71.0
 Nicki Aycox,1,48.0
 Nickk,1,55.0
 Nickolas Grace,1,61.0
 Nicky Excitement,1,64.0
 Nicky Jones,1,59.0
 Nicky Katt,1,63.0
 Nicky Slimting Walker,2,17.5
 Nico Antonio,1,28.0
 Nico Greetham,1,56.0
 Nico Parker,1,55.0
 Nico Romero,1,32.0
 Nico Toffoli,1,60.0
 Nico Vink,1,17.0
 Nicol Williamson,1,59.0
 Nicola Correia-Damude,1,54.0
 Nicola Coughlan,2,81.5
 Nicola Stapleton,1,28.0
 Nicola Walker,1,60.0
 Nicola Wright,1,62.0
 Nicolas Bro,1,73.0
 Nicolas Cage,4,49.75
 Nicolas Cantu,2,23.5
 Nicolas Duvauchelle,2,48.5
 Nicolas Giraud,2,56.0
 Nicolas Przygoda,1,43.0
 Nicolas Ronchi,1,61.0
 Nicolas Trevijano,1,22.0
 Nicolas Wanczycki,1,67.0
" Nicole "" Hoops"" Alexander",1,7.0
 Nicole Ari Parker,2,44.0
 Nicole Balsam,1,15.0
 Nicole Byer,1,59.0
 Nicole Dicker,1,55.0
 Nicole Fosse,1,61.0
 Nicole Garcia,1,80.0
 Nicole Kang,1,32.0
 Nicole Kidman,4,57.5
 Nicole Nabi,1,62.0
 Nicole Oliver,2,66.5
 Nicole Provost,1,75.0
 Nicole Rossi,1,59.0
 Nicole Santamaría,1,37.0
 Nicole Scherzinger,1,70.0
 Nicole Sougou,1,77.0
 Nicole Sullivan,4,35.5
 Nicoletta Braschi,1,82.0
 Nicolle Dickson,1,42.0
 Nicollette Sheridan,2,40.0
 Nicolás Durán,1,8.0
 Nicolás Furtado,1,54.0
 Nicolás Garnier,1,50.0
 Nicolás Martínez,1,51.0
 Nidal El Askhar,1,19.0
 Nidhi Singh,1,18.0
 Nidhi Subbaiah,1,36.0
 Niecy Nash,3,54.0
 Niels Arestrup,1,73.0
 Niels Schneider,2,39.0
 Nienke Plas,1,30.0
 Nigel Barber,1,7.0
 Nigel Havers,1,65.0
 Nigel Hawthorne,1,62.0
 Nigel Lindsay,2,37.0
 Nigel Morgan,1,25.0
 Nigel Thatch,1,12.0
 Nik Dodani,1,65.0
 Nik Xhelilaj,1,48.0
 Nika Futterman,1,51.0
 Nikhil Dwivedi,1,20.0
 Nikhil Vijay,1,17.0
 Nikhila Vimal,2,43.0
 Niki Botelho,1,50.0
 Nikita Hopkins,2,64.0
 Nikita Leigh-Pritchard,1,39.0
 Nikita Uggla,1,90.0
 Nikitin Dheer,2,65.0
 Nikki,1,48.0
 Nikki Amuka-Bird,1,45.0
 Nikki Cox,1,21.0
 Nikki Galrani,2,28.0
 Nikki Hahn,1,25.0
 Nikki James,1,53.0
 Nikki Leigh,2,26.5
 Nikki Reed,2,50.5
 Niko Foster,1,26.0
 Niko Verona,1,72.0
 Nikolai Nikolaeff,1,50.0
 Nikolaj Lie Kaas,1,74.0
 Nikolas Antunes,1,43.0
 Nikolay Olyalin,1,73.0
 Nikolay Romanov,1,75.0
 Nikolett Barabas,1,27.0
 Nil Cardoner,1,67.0
 Nil Mani,1,27.0
 Nilaja Sun,1,58.0
 Nilay Gök,1,25.0
 Nilgün Belgün,1,11.0
 Nilperi Şahinkaya,1,37.0
 Nils Allen Stewart,1,35.0
 Nimai Delgado,1,78.0
 Nimisha Sajayan,2,64.5
 Nimmi Harasgama,1,58.0
 Nina Arianda,1,49.0
 Nina Bergman,2,32.0
 Nina Dobrev,2,74.0
 Nina Grebeshkova,1,75.0
 Nina Kepekian,1,19.0
 Nina Kulkarni,2,30.0
 Nina Meurisse,1,58.0
 Nina Sosanya,1,57.0
 Nina Toussaint-White,1,49.0
 Nina Wadia,1,60.0
 Ninad Kamat,3,28.333333333333332
 Ninad Mahajani,1,31.0
 Ninel Conde,1,67.0
 Nino Muhlach,1,13.0
 Nir Hasdai,1,42.0
 Nirina Zubir,1,35.0
 Nirmal Rishi,1,28.0
 Nirosha,1,36.0
 Nirupama Verma,1,37.0
 Nirut Sirichanya,1,12.0
 Nishant Dahiya,2,51.5
 Nishant Malkani,1,20.0
 Nishikant Kamat,1,60.0
 Nita Strauss,1,52.0
 Nithiyia Rao,1,10.0
 Nithya Menen,1,26.0
 Nitin Goel,1,39.0
 Nitish Bharadwaj,1,46.0
 Nitish Pandey,1,63.0
 Nivedita Shukla,1,18.0
 Nivek Ogre,1,57.0
 Nivetha Pethuraj,2,47.0
 Nivetha Thomas,1,35.0
 Nizhalgal Ravi,1,34.0
 Noah Centineo,4,43.0
 Noah Dalton Danby,1,37.0
 Noah Fleiss,1,74.0
 Noah Harpster,1,71.0
 Noah Jupe,1,38.0
 Noah Lomax,2,48.5
 Noah Matthews,1,53.0
 Noah Reid,1,46.0
 Noah Saavedra,1,52.0
 Noah Schnapp,3,36.333333333333336
 Noah Segan,3,62.0
 Noah Taylor,2,75.5
 Noah Verduzco,1,29.0
 Noam Jenkins,2,55.5
 Noam Karmeli,1,42.0
 Nobu,1,68.0
 Nobu McCarthy,1,57.0
 Nobuaki Kaneko,1,18.0
 Nobuaki Shimamoto,1,11.0
 Nobuhiko Okamoto,3,79.66666666666667
 Nobunaga Shimazaki,1,71.0
 Nobuo Tobita,2,59.5
 Noel Johansen,1,57.0
 Noel O'Donovan,1,55.0
 Noelia Rubio,1,12.0
 Noell Coet,1,33.0
 Noelle Parker,1,51.0
 Noelle Zuber,1,60.0
 Noemi Gonzalez,2,48.5
 Nohely Arteaga,1,32.0
 Nokuthula Mazibuko,1,11.0
 Nolan Gerard Funk,1,43.0
 Nolan North,1,11.0
 Noma Dumezweni,1,78.0
 Nomalanga Shabane,1,11.0
 Nompilo Gwala,1,21.0
 Nomzamo Mbatha,1,52.0
 Nona Gaye,2,66.0
 Nonie Buencamino,1,13.0
 Nonna Mordyukova,1,75.0
 Noo-Ri Bae,1,43.0
 Noomi Rapace,1,74.0
 Noomis Jones,1,16.0
 Noor Kadri,2,14.5
 Noorin Gulamgaus,1,81.0
 Noortje Herlaar,1,30.0
 Nophand Boonyai,1,38.0
 Nor Domingo,1,13.0
 Nora Denney,1,38.0
 Nora Dunn,5,61.4
 Nora Fatehi,1,31.0
 Nora Hayden,1,37.0
 Nora Navas,1,14.0
 Nora Rios,1,80.0
 Nora Zehetner,1,74.0
 Nora von Waldstätten,1,13.0
 Nora-Jane Noone,1,77.0
 Norah Jones,1,75.0
 Norbert Leo Butz,1,15.0
 Norbert Weisser,1,26.0
 Noree Victoria,2,39.0
 Noriaki Sugiyama,1,68.0
 Noriko Hidaka,2,80.0
 Noriko Sakura,1,69.0
 Norival Rizzo,1,22.0
 Norm Lewis,1,74.0
 Norma Angélica,1,33.0
 Norma Nivia,1,13.0
 Norman Coburn,1,42.0
 Norman Dyhrenfurth,1,38.0
 Norman Fell,1,80.0
 Norman Reedus,1,53.0
 Noshir Dalal,1,67.0
 Nour,1,43.0
 Noureen DeWulf,2,53.0
 Nozomu Sasaki,1,58.0
 Noël Wells,1,69.0
 Nthenya Ndunda,1,41.0
 Ntuthuzelo Grootboom,1,20.0
 Numa Edema Norderhaug,1,58.0
 Numa Perrier,1,38.0
 Nuno Lopes,2,62.5
 Nur Aysan,1,44.0
 Nuria Herrero,1,68.0
 Nursel Köse,1,41.0
 Nushrat Bharucha,1,55.0
 Nushrratt Bharuchaa,1,48.0
 Nutan Sinha,1,39.0
 Nuttanicha Dungwattanawanich,1,35.0
 Nuttawut Jenmana,1,35.0
 Nyla Masood,1,27.0
 Nylon Chen,1,48.0
 Nína Dögg Filippusdóttir,1,33.0
 Nóra Rainer-Micsinyei,1,78.0
 O-Lan Jones,1,51.0
 O.C. Brown,1,82.0
 O.J. & Barbara Semans,1,78.0
 O.J. Simpson,1,61.0
 Oabnithi Wiwattanawarang,1,51.0
 Oakes Fegley,2,58.5
 Oana Gregory,1,24.0
 Obaid Kadwani,1,55.0
 Obba Babatundé,1,14.0
 Octavia Spencer,5,61.8
 Odai Hijazi,1,12.0
 Odd Magnus Williamson,1,72.0
 Oded Fehr,2,23.5
 Odessa Young,1,65.0
 Odette Annable,1,45.0
 Odette Yustman,1,48.0
 Odeya Rush,2,64.0
 Odiseas Georgiadis,1,54.0
 Odiseo Bichir,1,18.0
 Odwa Gwanya,1,72.0
 Ogie Banks,2,49.5
 Oh Dae-whan,1,73.0
 Oh Eui-sik,1,50.0
 Oh Hyun-kyung,1,21.0
 Oh Ji-ho,1,84.0
 Oh Jung-se,4,62.25
 Oh Man-seok,1,91.0
 Oh Na-ra,1,32.0
 Oh Yeon-seo,2,49.0
 Ohad Knoller,2,62.5
 Oka Antara,1,30.0
 Okan Yalabik,1,42.0
 Okan Yalabık,2,31.5
 Okan Çabalar,2,37.5
 Okezie Morro,1,56.0
 Ola Bjurman,1,37.0
 Ola G. Furuseth,1,72.0
 Olan Soulé,1,45.0
 Ole Christoffer Ertvaag,1,56.0
 Ole Johan Skjelbred-Knutsen,1,35.0
 Ole Lemmeke,1,65.0
 Oleg Shtefanko,1,60.0
 Oleg Taktarov,1,45.0
 Olek Krupa,1,47.0
 Olga Ivanova,1,48.0
 Olga Kurylenko,4,59.25
 Olga Sutulova,1,30.0
 Olive Blakeney,1,49.0
 Oliver Boot,1,59.0
 Oliver Dimsdale,1,44.0
 Oliver Hudson,2,52.0
 Oliver Jackson-Cohen,1,85.0
 Oliver Masucci,1,75.0
 Oliver Milburn,3,71.0
 Oliver Nava,1,18.0
 Oliver Platt,9,57.888888888888886
 Oliver Stark,1,28.0
 Oliver Stone,1,23.0
 Olivia Bucio,1,45.0
 Olivia Colman,1,76.0
 Olivia De Havilland,1,34.0
 Olivia Grace Applegate,1,78.0
 Olivia Llewellyn,1,58.0
 Olivia Mai Barrett,1,33.0
 Olivia Molinaro Eijo,1,25.0
 Olivia Munn,1,50.0
 Olivia Rodrigo,1,26.0
 Olivia Taylor Dudley,1,40.0
 Olivia Thirlby,3,52.333333333333336
 Olivia Wilde,3,59.0
 Olivia Williams,1,43.0
 Olivia d'Abo,3,65.66666666666667
 Olivier Bony,1,28.0
 Olivier Martinez,1,44.0
 Olivier Rabourdin,1,69.0
 Olivier Schneider,1,59.0
 Olly Alexander,1,55.0
 Olympia Dukakis,2,43.0
 Om Prakash,2,49.5
 Om Puri,16,40.3125
 Om Shivpuri,1,19.0
 Omar Benson Miller,1,66.0
 Omar El-Hariri,1,27.0
 Omar Germenos,1,45.0
 Omar Ghazaoui,1,66.0
 Omar J. Dorsey,1,46.0
 Omar Marwan,1,47.0
 Omar Maskati,1,48.0
 Omar Miller,1,55.0
 Omar Mustafa Metwally,1,8.0
 Omar Rudberg,1,90.0
 Omar Sharif,1,38.0
 Omar Sy,1,44.0
 Omara Esteghlal,1,45.0
 Omari Hardwick,2,56.0
 Omari Newton,1,15.0
 Omari Washington,1,2.0
 Omi Vaidya,2,71.0
 Omid Abtahi,1,85.0
 Omid Djalili,2,38.5
 Omid Memar,1,60.0
 On-on Yu,1,22.0
 Oneg Efron,1,42.0
 Onur Attila,1,16.0
 Onur Buldu,1,11.0
 Onuryay Evrentan,1,41.0
 Onyama Laura,1,14.0
 Onyok Pineda,1,6.0
 Oona Laurence,1,49.0
 Opal Littleton,1,35.0
 Opender Singh,1,69.0
 Oprah Winfrey,2,77.5
 Ori Biton,1,42.0
 Ori Pfeffer,1,65.0
 Oriah Elgrabli,1,72.0
 Oriana Sabatini,1,54.0
 Oriol Pla,1,88.0
 Orkhan Abulov,1,30.0
 Orkun Işıtmak,1,11.0
 Orkun Karagöz,1,16.0
 Orla Brady,1,61.0
 Orla Hill,1,65.0
 Orlando Bloom,4,79.75
 Orlando Brown,1,57.0
 Orlando Jones,1,47.0
 Orlando Valenzuela,1,27.0
 Orna Banay,1,77.0
 Orson Hong,1,72.0
 Orson Welles,1,77.0
 Osama Munir,1,43.0
 Osamu Saka,1,81.0
 Oscar Cheda,1,31.0
 Oscar Isaac,1,83.0
 Oscar Jaenada,1,50.0
 Oscar Martínez,1,68.0
 Oscar Nuñez,1,70.0
 Oshri Cohen,1,73.0
 Osman Alkaş,1,38.0
 Ossie Davis,2,74.0
 Osvaldo Benavides,1,64.0
 Oswin Benjamin,1,78.0
 Osy Ikhile,1,17.0
 Otar Saralidze,1,40.0
 Otto Kruger,1,83.0
 Oulaya Amamra,1,76.0
 Oussama Nadir,1,42.0
 Ovidiu Niculescu,1,39.0
 Ovince Saint Preux,1,56.0
 Oviya,2,39.5
 Oweiss Mkhallalati,1,34.0
 Owen Black,1,39.0
 Owen Kline,1,77.0
 Owen Moore,1,11.0
 Owen Williams,1,61.0
 Owen Wilson,5,61.6
 Oxcel,1,9.0
 P.J. Byrne,2,39.5
 P.J. Kelly,1,20.0
 Pabllo Vittar,1,33.0
 Pablo Cedrón,1,45.0
 Pablo Cruz Guerrero,1,43.0
 Pablo Derqui,1,71.0
 Pablo Esparza,1,30.0
 Pablo Espinosa,1,50.0
 Pablo Gama Iturrarán “Mago Gamini”,1,22.0
 Pablo Granados,1,14.0
 Pablo Guisa Koestinger,1,58.0
 Pablo Sanabio,1,39.0
 Pablo Schreiber,1,56.0
 Pacho Rueda,1,62.0
 Paco Manzanedo,1,54.0
 Paco Morayta,1,52.0
 Paco Tous,1,55.0
 Padam Kumar,1,40.0
 Paddy Considine,1,79.0
 Padma Rani,1,41.0
 Padmavati Rao,2,62.0
 Paget Brewster,3,29.666666666666668
 Paige Hurd,1,50.0
 Paintal,1,46.0
 Pakey Vázquez,1,24.0
 Pakija Begum,1,28.0
 Pakoda Pandian,1,48.0
 Pallas Prajapati,1,27.0
 Pally Siqueira,1,69.0
 Paloma Aguilera Valdebenito,1,48.0
 Paloma Baeza,1,33.0
 Paloma Picasso,1,51.0
 Palomi Ghosh,1,20.0
 Pam Grier,1,42.0
 Pam Klinger,1,61.0
 Pam Segall,1,62.0
 Pamela Adlon,1,70.0
 Pamela Afesi,1,53.0
 Pamela Anderson,1,29.0
 Pamela Chabora,1,18.0
 Pamela Chong Ven Teen,1,25.0
 Pamela Reed,1,51.0
 Pamela Segall,1,41.0
 Pamela Springsteen,1,53.0
 Pamu Pamorada,1,50.0
 Panapong Khaisang,1,11.0
 Panchito G??mez,1,76.0
 Pandiarajan,2,17.0
 Panjai Sirisuwan,1,38.0
 Pankaj Jha,2,31.0
