,director,Number_MoviesShows_dir,dir_average_score
1510,"Kief Davidson, Richard Ladkani",1,76.0
1511,Kieran Darcy-Smith,2,50.0
1512,Kike Maíllo,2,56.5
1513,"Kiko Cruz Claverol, Patricia Font",1,14.0
1514,Kim A. Snyder,1,76.0
1515,Kim Jee-woon,1,50.0
1516,Kim Nguyen,1,65.0
1517,Kim Sung-ho,1,22.0
1518,Kim Tae-hyung,1,50.0
1519,King Baggot,1,34.0
1520,"Kip Andersen, Keegan Kuhn",1,80.0
1521,Kirati Nakintanon,1,6.0
1522,Kirby Dick,1,76.0
1523,Kirk Douglas,1,43.0
1524,Kishore Tirumala,1,25.0
1525,Kittiphak Thonguam,1,12.0
1526,Kitty Green,1,64.0
1527,Klaus Menzel,1,10.0
1528,Klay Hall,1,48.0
1529,Kongkiat Komesiri,1,38.0
1530,Kornél Mundruczó,1,71.0
1531,Kranti Kanade,1,22.0
1532,Kris Pearn,1,70.0
1533,Krish,1,51.0
1534,Krishnan Jayaraj,1,8.0
1535,"Kristi Jacobson, Lori Silverbush",1,73.0
1536,Kristine Stolakis,1,71.0
1537,Krysia Plonka,1,32.0
1538,Kunal Kohli,1,74.0
1539,Kundan Shah,2,42.5
1540,Kyle Newacheck,1,44.0
1541,Kyle Newman,1,46.0
1542,Kyle Patrick Alvarez,1,67.0
1543,Kyle Rankin,1,24.0
1544,Kyle Rideout,1,54.0
1545,Kyoko Miyake,1,59.0
1546,L. Frazier,1,8.0
1547,LP,1,40.0
1548,"Lana Wachowski, Lilly Wachowski",1,45.0
1549,Lana Wilson,1,78.0
1550,Lance Bangs,5,49.6
1551,Lance Hammer,1,51.0
1552,Lance Hool,1,51.0
1553,Larry Charles,1,44.0
1554,Larry Latham,1,33.0
1555,Laslo Benedek,1,17.0
1556,Lasse Hallström,3,58.666666666666664
1557,"Lasse Hallström, Joe Johnston",1,46.0
1558,"Latif Faiziyev, Umesh Mehra",1,25.0
1559,Laura Brownson,1,54.0
1560,Laura Fairrie,1,33.0
1561,Lauren Greenfield,1,61.0
1562,Lauren MacMullan,1,73.0
1563,Lauren Miller Rogen,1,56.0
1564,Laxman Utekar,2,57.0
1565,Laïla Marrakchi,1,38.0
1566,Le Van Kiet,1,70.0
1567,Le Var Burton,1,36.0
1568,Leandro Neri,1,43.0
1569,Lech Majewski,1,55.0
1570,Lee Eung-bok,1,86.0
1571,Lee Friedlander,1,36.0
1572,Lee Jeong-beom,1,43.0
1573,Lee Kae-byeok,1,44.0
1574,Lee Kirk,1,49.0
1575,Lee Shallat Chemel,1,20.0
1576,Lee Tamahori,1,54.0
1577,Lee Unkrich,1,88.0
1578,Lee Yoon-jung,1,69.0
1579,Leena Yadav,3,18.666666666666668
1580,Lekh Tandon,1,4.0
1581,Lena Khan,2,57.0
1582,Lenin Bharathi,1,29.0
1583,Lennart Ruff,1,38.0
1584,Leo Matsuda,1,77.0
1585,Leo Riley,1,48.0
1586,"Leo Scott, Ting Poo",1,77.0
1587,Leonid Gaidai,1,75.0
1588,Leos Carax,1,72.0
1589,Les Mayfield,2,38.5
1590,Leslie Small,3,43.666666666666664
1591,Leste Chan,1,42.0
1592,Letia Clouston,1,41.0
1593,Letizia Lamartire,1,54.0
1594,Lev L. Spiro,1,64.0
1595,Lev Spiro,1,52.0
1596,Levan Tsikurishvili,1,77.0
1597,Lewis Milestone,1,24.0
1598,"Lewis Milestone, Carol Reed",1,65.0
1599,Li Jun,1,18.0
1600,Li Weiran,1,50.0
1601,Lilibet Foster,1,68.0
1602,"Lilly Wachowski, Lana Wachowski",3,71.33333333333333
1603,"Lilly Wachowski, Lana Wachowski, Tom Tykwer",1,71.0
1604,Linas Phillips,1,56.0
1605,Linda G. Mills,1,50.0
1606,Linda Mendoza,2,52.5
1607,Linda Otto,1,11.0
1608,"Linda Saffire, Adam Schlesinger",1,37.0
1609,Lionel C. Martin,1,38.0
1610,Lisa Ellzey,1,55.0
1611,Lisa Gottlieb,1,5.0
1612,Lisa Zi Xiang,1,28.0
1613,Liu Chia-liang,1,35.0
1614,Liz Garbus,1,77.0
1615,"Liz Garbus, Lisa Cortes",1,78.0
1616,Liz Plonka,1,64.0
1617,Liz Tuccillo,1,51.0
1618,Lloyd Corrigan,1,11.0
1619,Lo Wei,1,74.0
1620,Lokesh Kanagaraj,1,61.0
1621,Lone Scherfig,1,55.0
1622,Lorcan Finnegan,1,54.0
1623,Louie Psihoyos,1,78.0
1624,Louie Schwartzberg,1,80.0
1625,Louis C.K.,2,80.5
1626,Louis J. Horvitz,1,35.0
1627,Louis Leterrier,1,50.0
1628,Louis Morneau,1,29.0
1629,"Luca Boni, Marco Ristori",1,17.0
1630,Luca Guadagnino,1,69.0
1631,Lucas Margutti,2,11.0
1632,Lucas Santa Ana,1,38.0
1633,Lucien Bourjeily,1,20.0
1634,Lucky McKee,1,62.0
1635,Ludovic Bernard,1,67.0
1636,"Luis Alberto Restrepo, Andrés Beltrán, Jaime Rayo",1,32.0
1637,Luis Alejandro Berdejo,1,44.0
1638,Luis Ara,1,12.0
1639,Luis Buñuel,1,85.0
1640,Luis Estrada,1,64.0
1641,Luis Javier Henaine,1,43.0
1642,"Luis Lopez, Clay Tweel",1,50.0
1643,Luis Puenzo,1,54.0
1644,Luis Valdez,1,37.0
1645,Luke Snellin,1,57.0
1646,Lulu Wang,1,84.0
1647,Lynn Roth,1,30.0
1648,Lynn Shelton,1,60.0
1649,Lynne Ramsay,1,76.0
1650,"Lyric R. Cabral, David Felix Sutcliffe",1,74.0
1651,M. Night Shyamalan,1,45.0
1652,Maciej Dejczer,1,17.0
1653,Macon Blair,1,73.0
1654,"Madeleine Parry, Jon Olb",1,76.0
1655,Madhur Bhandarkar,2,36.0
1656,Madonne Ashwin,1,52.0
1657,Mae Czarina Cruz,2,19.0
1658,Mahesh Bhatt,3,24.333333333333332
1659,Mahesh Manjrekar,1,17.0
1660,Mahesh Narayan,1,56.0
1661,Mahesh Narayanan,1,67.0
1662,Mahmoud Karim,1,10.0
1663,Mahmoud al Massad,1,12.0
1664,Maite Ruiz De Austri,1,32.0
1665,Makoto Shinkai,1,75.0
1666,Malcolm D. Lee,1,51.0
1667,Malcolm Venville,1,49.0
1668,Malik Bendjelloul,1,86.0
1669,Mamoru Hosoda,1,73.0
1670,Mandeep Kumar,1,35.0
1671,Maneesh Sharma,2,56.5
1672,Mangesh Hadawale,1,14.0
1673,Mani Ratnam,2,61.0
1674,Manimaran,1,18.0
1675,Manjari Makijany,1,32.0
1676,Mann Robinson,1,7.0
1677,Manny Coto,1,53.0
1678,Manny Rodriguez,2,47.5
1679,Manolo Caro,1,61.0
1680,Manu Ashokan,1,53.0
1681,Manu Warrier,1,44.0
1682,Mar Targarona,1,54.0
1683,"MarVista Entertainment,  Inc.",1,7.0
1684,Marah Strauch,1,70.0
1685,Marc Evans,1,9.0
1686,Marc Forster,2,64.5
1687,Marc Fouchard,1,31.0
1688,Marc Meyers,1,52.0
1689,Marc Vigil,1,46.0
1690,Marc Webb,1,50.0
1691,Marcel Barrena,1,70.0
1692,Marcelo Galvão,1,46.0
1693,Marcelo González,1,8.0
1694,Marco Risi,1,15.0
1695,Marco Schnabel,1,31.0
1696,Marcos Bucay,1,14.0
1697,Marcos Carnevale,1,28.0
1698,Marcus Clarke,1,75.0
1699,Marcus Nispel,1,47.0
1700,Marcus Raboy,10,38.6
1701,Marek Kanievska,1,15.0
1702,Maria Pulera,1,41.0
1703,Maria Ripoll,1,41.0
1704,Marianna Palka,1,51.0
1705,Marie Madinier,1,22.0
1706,Marina Seresesky,1,29.0
1707,Mario Andreacchio,1,23.0
1708,Mario Briongos,1,31.0
1709,Mario N. Bonassin,1,5.0
1710,Mario Rouleau,1,27.0
1711,Mario Van Peebles,1,44.0
1712,Maris Curran,1,42.0
1713,Marita Grabiak,1,20.0
1714,Mark A.Z. Dippé,1,32.0
1715,"Mark A.Z. Dippé, Kyung Ho Lee",1,35.0
1716,"Mark Andrews, Brenda Chapman",1,72.0
1717,Mark Atkins,1,22.0
1718,"Mark Benjamin, Marc Levin",1,23.0
1719,Mark Dindal,2,64.5
1720,Mark Dippé,3,48.666666666666664
1721,"Mark Franchetti, Andrew Meier",1,46.0
1722,Mark Helfrich,1,40.0
1723,Mark Lewis,2,50.5
1724,Mark O'Connor,1,53.0
1725,Mark Obenhaus,1,25.0
1726,Mark Osborne,1,79.0
1727,Mark Palansky,1,51.0
1728,Mark Polonia,1,10.0
1729,Mark Robson,4,26.25
1730,Mark Rosman,1,46.0
1731,Mark Sawers,1,39.0
1732,Mark Steven Johnson,1,49.0
1733,Mark Toia,1,54.0
1734,Mark Tonderai,1,43.0
1735,Mark Waters,2,68.5
1736,Maroun Baghdadi,1,19.0
1737,Marshall Cook,1,31.0
1738,Marta Cunningham,1,49.0
1739,"Martha Kehoe, Joan Tosni",1,36.0
1740,Martin Brest,1,80.0
1741,Martin Campbell,3,63.666666666666664
1742,Martin Johnson,1,11.0
1743,Martin Krejcí,1,64.0
1744,Martin Owen,1,41.0
1745,Martin Prakkat,1,62.0
1746,Martin Ritt,1,66.0
1747,Martin Scorsese,5,79.8
1748,Martin Weisz,1,32.0
1749,Martin Wood,1,52.0
1750,Marty Callner,1,71.0
1751,Martín Sastre,1,15.0
1752,Mary Harron,1,74.0
1753,Mary Lambert,1,64.0
1754,Marya Cohn,1,59.0
1755,María Jose Cuevas,1,44.0
1756,Masaaki Yuasa,2,73.5
1757,Massimiliano Camaiti,1,39.0
1758,"Mastan Alibhai Burmawalla, Abbas Alibhai Burmawalla",1,57.0
1759,Mateo Gil,2,53.0
1760,Matheus Souza,1,46.0
1761,"Mathias Malzieu, Stéphane Berla",1,71.0
1762,Mathieu Ratthe,1,28.0
1763,Mati Diop,1,77.0
1764,"Matt Angel, Suzanne Coote",1,27.0
1765,Matt Aselton,1,54.0
1766,Matt Drummond,2,29.5
1767,Matt Eskandari,1,42.0
1768,Matt Green,1,19.0
1769,Matt Johnson,1,61.0
1770,Matt Kay,1,28.0
1771,Matt Mitchell,1,16.0
1772,Matt Ogens,1,63.0
1773,Matt Ross,1,73.0
1774,Matt Thompson,1,50.0
1775,Matt Toronto,1,37.0
1776,"Matt Villines, Oz Rodriguez",1,35.0
1777,Matt Wechsler,1,25.0
1778,Matthew B.C.,1,62.0
1779,Matthew Diamond,1,59.0
1780,Matthew Leutwyler,1,13.0
1781,Matthew Robbins,1,68.0
1782,Matthew Ross,1,56.0
1783,Matthew Salleh,1,30.0
1784,Matthew Thompson,1,23.0
1785,Matthew Vaughn,2,75.0
1786,Matías Gueilburt,1,77.0
1787,Maurice Joyce,1,43.0
1788,Mauricio Eça,2,56.5
1789,"Max Lang, Jani Lachauer",1,72.0
1790,Max Martini,1,52.0
1791,Max McGill,1,5.0
1792,Max McGuire,1,8.0
1793,Max Nichols,1,55.0
1794,Max Strand,1,23.0
1795,Maximilian Erlenwein,1,56.0
1796,Maxwell McGuire,1,49.0
1797,Maya Forbes,1,61.0
1798,Maz Jobrani,1,20.0
1799,Maïwenn,1,47.0
1800,McG,3,55.666666666666664
1801,Megan Griffiths,1,69.0
1802,Mehran C. Torgoley,1,28.0
1803,Meltem Bozoflu,1,16.0
1804,Menno Meyjes,1,66.0
1805,Merawi Gerima,1,70.0
1806,"Micaela Wittman, Arthur De Larroche",1,39.0
1807,Micha Wald,1,16.0
1808,Michael A. Nickles,2,28.0
1809,Michael A. Simpson,1,53.0
1810,Michael Anderson,1,65.0
1811,Michael Barnett,1,38.0
1812,Michael Bay,1,53.0
1813,Michael Berz,1,28.0
1814,Michael Blieden,1,63.0
1815,Michael Buster,1,9.0
1816,Michael Cooney,1,43.0
1817,Michael Crichton,1,41.0
1818,Michael Cuesta,2,62.0
1819,Michael Curtiz,1,34.0
1820,Michael Del Monte,1,50.0
1821,Michael Dominic,1,28.0
1822,Michael Dowse,1,69.0
1823,Michael Drumm,1,63.0
1824,Michael Epstein,1,48.0
1825,Michael Feifer,3,16.0
1826,Michael Fimognari,1,59.0
1827,Michael G. Cooney,1,44.0
1828,Michael Gottlieb,1,33.0
1829,Michael Gracey,1,72.0
1830,Michael Grossman,1,65.0
1831,Michael Harte,1,53.0
1832,Michael J. Bassett,1,57.0
1833,Michael J.F. Scott,1,17.0
1834,Michael Jai White,1,57.0
1835,Michael Kampa,1,27.0
1836,"Michael Kerry Matthews, Thomas Matthews",1,25.0
1837,Michael Lange,1,38.0
1838,Michael Larnell,1,61.0
1839,Michael Lembeck,2,54.5
1840,Michael Lindsay-Hogg,1,59.0
1841,Michael Lockshin,1,66.0
1842,Michael M. Scott,1,47.0
1843,Michael Mason,1,45.0
1844,Michael Mazzola,1,68.0
1845,Michael McGowan,1,75.0
1846,Michael Moore,2,56.0
1847,Michael O. Sajbel,1,63.0
1848,Michael Oblowitz,1,28.0
1849,"Michael Palmieri, Donal Mosher",1,27.0
1850,Michael Paul Stephenson,1,45.0
1851,Michael Polish,1,33.0
1852,Michael Radford,1,41.0
1853,Michael Ritchie,2,48.5
1854,Michael Samuels,1,17.0
1855,Michael Showalter,1,48.0
1856,Michael Simon,1,36.0
1857,"Michael Simon, Matthew McNeil",1,32.0
1858,"Michael Spierig, Peter Spierig",1,46.0
1859,Michael Tiddes,3,42.333333333333336
1860,Michael Walker,1,41.0
1861,Michael Winterbottom,3,57.666666666666664
1862,Michel Poulette,1,40.0
1863,Michelle Danner,1,8.0
1864,Michelle MacLaren,1,47.0
1865,Michihito Fujii,1,59.0
1866,Michèle Ohayon,1,10.0
1867,Mick Davis,1,33.0
1868,Mick Jackson,1,51.0
1869,Midhun Manuel Thomas,1,26.0
1870,Miguel Alexandre,1,39.0
1871,Miguel Arteta,1,61.0
1872,Miguel Morayta,1,8.0
1873,Miguel Ángel Lamata,1,54.0
1874,Miguel Ángel Vivas,1,64.0
1875,Mikael Håfström,1,51.0
1876,Mike Bencivenga,1,17.0
1877,Mike Binder,2,70.5
1878,Mike Clattenburg,3,48.0
1879,Mike Disa,1,45.0
1880,"Mike Diva, Akiva Schaffer",1,72.0
1881,Mike Elliott,1,36.0
1882,"Mike Fetterly, Steve Sacks",1,60.0
1883,Mike Flanagan,2,66.0
1884,"Mike Gabriel, Eric Goldberg",1,65.0
1885,Mike Gunther,1,19.0
1886,Mike Hodges,1,74.0
1887,Mike Mendez,1,54.0
1888,Mike Mills,1,80.0
1889,Mike Mitchell,1,63.0
1890,Mike Newell,1,55.0
1891,Mike Nichols,2,78.0
1892,Mike Nicoll,1,17.0
1893,Mike Ockrent,1,34.0
1894,Mike Robe,1,14.0
1895,Mike Rohl,1,53.0
1896,"Mike Smith, John Paul Tremblay, Robb Wells",1,8.0
1897,Mike Thurmeier,1,46.0
1898,Mikhail Red,3,36.666666666666664
1899,Mikhil Musale,1,23.0
1900,Mikkel Brænne Sandemose,1,33.0
1901,"Mila Aung-Thwin, Van Royko",1,38.0
1902,Milap Milan Zaveri,1,23.0
1903,Milap Zaveri,1,42.0
1904,Miloš Forman,1,59.0
1905,Milton Katselas,1,63.0
1906,Milton Kremer,1,58.0
1907,Mimi Leder,1,53.0
1908,Mira Nair,1,79.0
1909,Mitch Dickman,1,59.0
1910,Mitch Schauer,1,34.0
1911,Mitchell Lichtenstein,1,59.0
1912,"Mitzi Vanessa Arreola, Amir Galvan Cervera",1,35.0
1913,Mohan Raja,1,44.0
1914,Mohit Suri,2,48.5
1915,Monfery Dominique,1,68.0
1916,Monika Mitchell,1,56.0
1917,Morgan J. Freeman,1,55.0
1918,Morgan Murphy,1,9.0
1919,"Morgan Neville, Robert Gordon",1,79.0
1920,Morgan Spurlock,2,57.0
1921,Mrighdeep Lamba,1,37.0
1922,Mukul Abhyankar,1,20.0
1923,Murat Kepez,1,41.0
1924,Musthafa,1,43.0
1925,"Myles Kane, Josh Koury",1,64.0
1926,Myles Sorensen,1,5.0
1927,"Måns Mårlind, Björn Stein",1,5.0
1928,N. Linguswamy,2,29.5
1929,Na Hyeon,1,45.0
1930,Nabil Ayouch,1,46.0
1931,Nacho G. Velilla,1,53.0
1932,Nagesh Kukunoor,3,44.333333333333336
1933,"Nana Ekvtimishvili, Simon Gross",1,82.0
1934,"Nanfu Wang, Jialing Zhang",1,80.0
1935,Naranippuzha Shanavas,1,14.0
1936,Naresh Malhotra,1,27.0
1937,Naseef Yusuf Izuddin,1,31.0
1938,Natalie Portman,1,60.0
1939,Natasha Lyonne,1,39.0
1940,"Nate Adams, Adam Carolla",1,24.0
1941,Nathan Greno,1,40.0
1942,"Nathan Greno, Byron Howard",1,80.0
1943,Nathan Morlando,1,61.0
1944,"Nathanael Wiseman, Robert Osman",1,28.0
1945,Nathaniel Atcheson,1,38.0
1946,Navdeep Singh,2,43.5
1947,Navot Papushado,1,56.0
1948,Neal Brennan,2,68.5
1949,Neeraj Pandey,1,77.0
1950,Neeraj Vora,1,65.0
1951,Neil Abramson,1,36.0
1952,Neil Diamond,1,56.0
1953,Neil Gelinas,1,21.0
1954,Neil Jordan,2,54.5
1955,Neil LaBute,1,56.0
1956,Neil Marshall,1,77.0
1957,Neill Blomkamp,1,79.0
1958,Nelson McCormick,1,34.0
1959,Neville Shah,1,19.0
1960,Niall Johnson,1,26.0
1961,Niall MacCormick,1,35.0
1962,Nic Mathieu,1,63.0
1963,Nicholas Danko,1,21.0
1964,Nicholas Hytner,1,65.0
1965,Nicholas Ray,1,84.0
1966,Nicholas Stoller,1,64.0
1967,Nicholas Winter,1,27.0
1968,"Nick Bicanic, Jason Bourque",1,34.0
1969,Nick Budabin,1,33.0
1970,Nick Castle,1,57.0
1971,Nick Gomez,2,47.0
1972,Nick Love,1,46.0
1973,Nick Moore,1,61.0
1974,Nick Simon,1,45.0
1975,Nick Weiss,1,18.0
1976,Nicolas Bary,1,37.0
1977,Nicolas Gessner,1,69.0
1978,Nicolas Winding Refn,1,46.0
1979,Niki Caro,1,68.0
1980,Nikolai Lebedev,1,28.0
1981,Nikolay Lebedev,1,54.0
1982,Nima Nourizadeh,1,52.0
1983,Nina May,1,16.0
1984,Nir Paniry,1,55.0
1985,Nisha Ganatra,1,71.0
1986,Nishikant Kamat,3,62.333333333333336
1987,Noah Baumbach,4,76.5
1988,"Noah Baumbach, Jake Paltrow",1,82.0
1989,Noam Murro,1,54.0
1990,Noor Imran Mithu,1,12.0
1991,Nora Ephron,1,69.0
1992,Nora Fingscheidt,1,83.0
1993,Nora Twomey,1,81.0
1994,Norberto López Amado,1,46.0
1995,Noriaki Yuasa,2,32.5
1996,Noriyuki Abe,1,68.0
1997,"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells",1,68.0
1998,Norman Foster,1,45.0
1999,Norman Jewison,2,53.0
2000,Norman Krasna,1,15.0
2001,Norman McLeod,1,10.0
2002,Norman Taurog,1,52.0
2003,Norman Tokar,2,61.0
2004,Noviandra Santosa,1,18.0
2005,Nuel Naval,1,18.0
2006,Numa Perrier,1,38.0
2007,Nupur Asthana,2,42.5
2008,Olaf Ittenbach,1,11.0
2009,Ole Bornedal,1,74.0
2010,Oleg Malamuzh,1,41.0
2011,Oleg Stepchenko,1,44.0
2012,Oliver Bokelberg,1,13.0
2013,Oliver Parker,1,53.0
2014,Oliver Schmitz,1,47.0
2015,Olivia Cappuccini,1,25.0
2016,Olivia M. Lamasan,1,30.0
2017,Olivia Newman,1,72.0
2018,Olivier Assayas,1,53.0
2019,Olivier Marchal,2,38.0
2020,Omung Kumar,1,33.0
2021,Oriol Paulo,1,83.0
2022,Orlando von Einsiedel,2,81.0
2023,Orson Welles,1,77.0
2024,Oscar Micheaux,1,57.0
2025,Osgood Perkins,1,49.0
2026,"Otto Brower, Christy Cabanne",1,20.0
2027,Owen Egerton,1,52.0
2028,Oz Rodriguez,1,61.0
2029,Ozan Açıktan,3,35.0
2030,P. J. Pesce,1,39.0
2031,P. Vasu,1,57.0
2032,P.J. Hogan,1,53.0
2033,P.S. Mithran,1,28.0
2034,PJ Raval,1,36.0
2035,Pablo Giorgelli,1,35.0
2036,Pablo Larraín,1,71.0
2037,"Pablo Lejarreta, Luis Alfaro",1,71.0
2038,"Pablo Stoll, Juan Pablo Rebella",1,67.0
2039,Paco Plaza,1,64.0
2040,Padraig Reynolds,1,35.0
2041,Page Hurwitz,1,22.0
2042,Paige Goldberg Tolmach,1,34.0
2043,Pan Nalin,1,50.0
2044,Pandiraj,2,39.0
2045,Pankaj Batra,1,16.0
2046,Pankaj Saraswat,1,21.0
2047,Pannaga Bharana,1,7.0
2048,Paolo Licata,1,31.0
2049,Paresh Mokashi,1,43.0
2050,Paritosh Painter,1,10.0
2051,Park Hoon-jung,1,67.0
2052,Park In-je,1,51.0
2053,Park Young-ju,1,12.0
2054,Parthiban,1,39.0
2055,Partho Mitra,1,25.0
2056,Pascale Lamche,1,25.0
2057,Pat Healy,1,64.0
2058,Patrice Laliberté,1,66.0
2059,Patricia Font,1,53.0
2060,Patricia Rozema,2,67.5
2061,Patricio Valladares,1,16.0
2062,Patrick Brice,2,70.5
2063,Patrick Creadon,1,37.0
2064,Patrick Durham,1,17.0
2065,Patrick Graham,1,73.0
2066,Patrick Hughes,1,60.0
2067,Patrick Meaney,1,13.0
2068,Patrick Rea,1,41.0
2069,Patrick Read Johnson,1,50.0
2070,Patrick Tatopoulos,1,55.0
2071,Patrick Vollrath,1,60.0
2072,Patrick Wright,1,6.0
2073,Paul Feig,1,49.0
2074,Paul Glaser,1,29.0
2075,Paul Greengrass,2,69.0
2076,Paul Haggis,1,64.0
2077,Paul Hoen,4,56.5
2078,Paul Johansson,1,43.0
2079,Paul Justman,1,63.0
2080,Paul Krizan,1,11.0
2081,Paul Leyden,1,39.0
2082,Paul M. Green,1,2.0
2083,Paul Maslansky,1,46.0
2084,Paul Miller,1,33.0
2085,Paul Munger,1,13.0
2086,Paul Powell,1,14.0
2087,Paul Raschid,1,27.0
2088,Paul Schneider,2,25.5
2089,Paul Schrader,1,46.0
2090,Paul Serafini,1,27.0
2091,Paul Thomas Anderson,2,79.0
2092,Paul Urkijo Alijo,1,67.0
2093,Paul Van Carter,1,27.0
2094,Paul Verhoeven,1,61.0
2095,Paul W.S. Anderson,2,51.5
2096,Paul Weitz,2,55.5
2097,Pavel Parkhomenko,1,48.0
2098,Pawan Kripalani,1,21.0
2099,Pawan Kumar,1,34.0
2100,Paween Purijitpanya,1,35.0
2101,Pearry Reginald Teo,1,35.0
2102,Pedring A. Lopez,1,38.0
2103,Pedro Antonio,1,39.0
2104,Pedro Flores Maldonado,1,18.0
2105,Percy Adlon,2,43.5
2106,Perry Lang,1,59.0
2107,Pete Docter,1,82.0
2108,"Pete Docter, Roger Gould",1,69.0
2109,Pete McBride,1,19.0
2110,Peter Baldwin,1,28.0
2111,Peter Berg,2,50.0
2112,Peter Chelsom,1,35.0
2113,Peter Daskaloff,1,26.0
2114,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",1,32.0
2115,Peter Hedges,2,64.5
2116,Peter Hewitt,1,36.0
2117,Peter Ho-Sun Chan,1,24.0
2118,Peter Howitt,1,57.0
2119,Peter Hutchings,1,53.0
2120,Peter Hyams,2,51.5
2121,Peter Jackson,3,76.33333333333333
2122,Peter Lepeniotis,1,45.0
2123,Peter Levin,1,16.0
2124,Peter Markle,1,23.0
2125,"Peter Middleton, James Spinney",1,73.0
2126,"Peter Mortimer, Josh Lowell",1,86.0
2127,Peter O'Brian,1,15.0
2128,Peter Orton,1,47.0
2129,Peter Sattler,1,67.0
2130,Peter Segal,1,56.0
2131,Peter Sohn,1,66.0
2132,Peter Sollett,1,79.0
2133,Peter Sullivan,2,26.5
2134,Peter Thorwarth,1,58.0
2135,Peter Webber,1,22.0
2136,Peter Weir,1,69.0
2137,Peter Winther,1,48.0
2138,Petra Costa,1,79.0
2139,Peyton Reed,2,54.5
2140,Phil Roman,1,51.0
2141,Phil Rosen,1,20.0
2142,Phil Traill,1,45.0
2143,Philip G. Atwell,1,48.0
2144,Philip Marlatt,1,8.0
2145,Philip S. Plowden,1,17.0
2146,Philip Saville,1,26.0
2147,Philip Yung,1,10.0
2148,Philippa Lowthorpe,2,38.5
2149,Phillip Borsos,1,59.0
2150,Phillip Youmans,1,67.0
2151,Phyllida Lloyd,1,76.0
2152,Picky Talarico,1,39.0
2153,Pierfrancesco Diliberto,1,18.0
2154,Pierre Morel,1,69.0
2155,Pieter-Jan De Pue,1,21.0
2156,Piotr Szkopiak,1,38.0
2157,"Pixote Hunt, Hendel Butoy, Eric Goldberg",1,71.0
2158,Ponram,1,26.0
2159,Pradeep Krishnamoorthy,1,9.0
2160,Pradeep Sarkar,1,60.0
2161,Prakash Jha,2,46.5
2162,Prakash Mehra,1,38.0
2163,Prashant Nair,1,42.0
2164,Prateek Vats,1,39.0
2165,Praveen Kandregula,1,36.0
2166,Praveen Nischol,1,19.0
2167,Preston A. Whitmore II,1,28.0
2168,Prince Joy,1,15.0
2169,Priyadarshan,5,40.4
2170,"Priyadarshan, Kookie V. Gulati",1,57.0
2171,Prosit Roy,1,52.0
2172,Puneet Sira,1,18.0
2173,Punit Malhotra,2,28.0
2174,Puri Jagannadh,1,30.0
2175,Pushkar-Gayathri,1,64.0
2176,Qiao Fang,1,6.0
2177,Quentin Tarantino,3,84.66666666666667
2178,Quoc Bao Tran,1,72.0
2179,R. Balki,1,76.0
2180,R. Ellis Frazier,2,11.0
2181,R. Kannan,1,14.0
2182,RZA,2,50.5
2183,Rachel Mason,1,77.0
2184,Rachel Talalay,1,49.0
2185,Radha Blank,1,78.0
2186,"Radha Krishna Jagarlamundi, Kangana Ranaut",1,52.0
2187,Raditya Dika,1,13.0
2188,"Rahi Anil Barve, Adesh Prasad",1,81.0
2189,Rahul Rawail,1,41.0
2190,Raj B. Shetty,1,23.0
2191,Raj Kumar Gupta,3,46.666666666666664
2192,Raj R,1,25.0
2193,Raja Gosnell,3,45.666666666666664
2194,Raja Menon,1,17.0
2195,Rajat Kapoor,1,65.0
2196,Rajesh M Selva,1,21.0
2197,Rajiv Mehra,1,40.0
2198,Rajiv Menon,1,18.0
2199,Rajkumar Hirani,1,83.0
2200,Rajkumar Santoshi,2,52.0
2201,Raju Murugan,1,36.0
2202,Rakeysh Omprakash Mehra,2,32.0
2203,Ralph Hemecker,1,24.0
2204,Ralph Macchio,1,13.0
2205,Ralph Ziman,1,29.0
2206,"Ralph Zondag, Eric Leighton",1,62.0
2207,Ram Gopal Varma,3,25.333333333333332
2208,Ramana Madhesh,1,14.0
2209,Ramón Salazar,1,68.0
2210,Randa Chahal Sabbag,1,19.0
2211,Randa Haines,1,74.0
2212,Randall Miller,2,57.5
2213,Randall Wallace,1,73.0
2214,"Raoul W. Heimrich, Yvonne Wunschel",1,15.0
2215,Rathna Kumar,1,18.0
2216,Raul Inglis,1,8.0
2217,Ravi Chopra,1,2.0
2218,Raymond De Felitta,1,62.0
2219,Raymond Wood,1,15.0
2220,"Raúl Campos, Jan Suter",2,13.5
2221,Rebecca Zlotowski,2,51.0
2222,Reem Kherici,1,52.0
2223,Reema Kagti,2,45.0
2224,Reginald Hudlin,3,66.33333333333333
2225,Reid Nicewonder,1,25.0
2226,Reiner Holzemer,1,15.0
2227,Remi Weekes,1,74.0
2228,Remo D'Souza,3,33.333333333333336
2229,Renan Ozturk,1,27.0
2230,Renato De Maria,1,54.0
2231,Rene Bueno,1,21.0
2232,Renee Chabria,1,17.0
2233,Renny Harlin,2,58.0
2234,Renzil D'Silva,1,30.0
2235,René Pérez Joglar,1,30.0
2236,Rhiannon Bannenberg,1,50.0
2237,Rhys Thomas,1,72.0
2238,Rian Johnson,1,74.0
