,director,Number_MoviesShows_dir,dir_average_score
274,Barry Sonnenfeld,2,75.0
275,Barry Strugatz,1,10.0
276,Bassam Tariq,1,48.0
277,Beda Docampo Feijoo,1,20.0
278,Bedabrata Pain,1,20.0
279,Bedran Güzel,1,44.0
280,Beeban Kidron,1,65.0
281,Bejoy Nambiar,1,60.0
282,"Ben Bowie, Geoff Luck",1,10.0
283,Ben Browder,1,36.0
284,Ben C. Lucas,1,62.0
285,Ben Carland,1,45.0
286,Ben Cookson,1,54.0
287,Ben Falcone,1,40.0
288,Ben Sharpsteen,3,34.333333333333336
289,Ben Simms,1,9.0
290,Ben Stassen,1,54.0
291,Ben Stiller,1,73.0
292,Ben Younger,1,67.0
293,Benedict Andrews,1,60.0
294,Benjamin Dickinson,1,20.0
295,Benjamin Gluck,1,59.0
296,"Benjamin Turner, Gabe Turner",1,63.0
297,"Benny Safdie, Josh Safdie",1,79.0
298,Bernie Rao,1,33.0
299,Bert I. Gordon,1,27.0
300,Bert Marcus,1,65.0
301,"Bert Marcus, Cyrus Saidi",1,50.0
302,Bette Gordon,1,40.0
303,Betty Thomas,1,56.0
304,Beyoncé Knowles-Carter,1,80.0
305,Bharat Kamma,1,43.0
306,Bhaskar,1,13.0
307,Bhushan Patel,1,17.0
308,Bilal Lashari,1,46.0
309,Bill Clark,1,63.0
310,Bill Corcoran,1,18.0
311,Bill Norton,1,16.0
312,Bill Paxton,1,70.0
313,Bill Roberts,1,31.0
314,"Bill Roberts, Jack Kinney, Ham Luske",1,59.0
315,Bille August,1,65.0
316,Bille Woodruff,2,38.5
317,Billy Corben,2,59.5
318,Billy Morrissette,1,62.0
319,Blaine Thurier,1,27.0
320,Blair Treu,1,49.0
321,Blake Edwards,1,56.0
322,Blake Van de Graaf,1,29.0
323,Blayne Weaver,1,26.0
324,Boaz Yakin,2,66.5
325,Bob Clark,2,47.5
326,Bob Giordano,1,28.0
327,Bob Giraldi,1,56.0
328,"Bob Hercules, Rita Coburn Whack",1,80.0
329,Bob Odenkirk,1,56.0
330,"Bobby Farrelly, Peter Farrelly",1,60.0
331,Bobby Roth,2,22.0
332,Bobcat Goldthwait,2,41.0
333,Bobs Gannaway,1,55.0
334,"Bonni Cohen, Jon Shenk",1,83.0
335,Bora Kim,1,82.0
336,Borys Lankosz,1,11.0
337,Boyapati Srinivas,1,17.0
338,Brad Anderson,3,65.66666666666667
339,Brad Bird,4,76.25
340,Brad Peyton,1,38.0
341,Brad Silberling,1,50.0
342,"Bradford Thomason, Brett Whitcomb",1,48.0
343,Bradley Parker,1,40.0
344,Bradley Raymond,2,55.0
345,"Bradley Raymond, Jun Falkenstein, Bill Speers",1,64.0
346,"Bradley Raymond, Tom Ellery",1,43.0
347,Bradley Walsh,1,51.0
348,Bramma,1,12.0
349,Branden Kramer,1,54.0
350,Brandon Dickerson,1,22.0
351,Brandon Slagle,1,19.0
352,Brendan Byrne,1,74.0
353,Brendan Toller,1,64.0
354,Brendon Marotta,1,31.0
355,Brent Bonacorso,1,44.0
356,Brent Maddock,1,55.0
357,Brett Donowho,1,41.0
358,Brett Haley,1,68.0
359,Brett Harvey,1,58.0
360,Brett Hedlund,1,28.0
361,Brett Ratner,1,62.0
362,Brett Simmons,1,26.0
363,Brian A. Miller,1,32.0
364,"Brian Avenet-Bradley, Laurence Avenet-Bradley",1,16.0
365,Brian Fee,1,65.0
366,Brian Hennigan,1,18.0
367,Brian Henson,1,76.0
368,Brian Herzlinger,1,10.0
369,Brian Jun,1,6.0
370,Brian Levant,2,43.0
371,"Brian M. Conley, Nathan Ives",1,30.0
372,Brian Nowak,1,6.0
373,Brian Pimental,1,59.0
374,Brian Robbins,1,53.0
375,Brian Skiba,1,37.0
376,Brian Trenchard-Smith,1,23.0
377,Brittany Andrews,1,32.0
378,Bruce Beresford,3,66.0
379,Bruce Hendricks,1,44.0
380,Bruce Wemple,1,26.0
381,Bruno Garotti,1,49.0
382,Bryan Fogel,1,80.0
383,Bryan Lewis,1,14.0
384,Bryan Singer,1,61.0
385,Bryce Wagoner,1,51.0
386,Bryn Evans,1,17.0
387,Buchi Babu Sana,1,30.0
388,Bud Luckey,1,66.0
389,"Bud Pollard, Del Lord",1,2.0
390,Burak Aksak,1,27.0
391,Burny Mattinson,1,83.0
392,Burr Steers,1,61.0
393,Burt Brinckerhoff,1,13.0
394,Burt Gillett,3,53.666666666666664
395,Buz Wallick,1,10.0
396,Byron Haskin,1,71.0
397,"Byron Howard, Chris Williams",1,71.0
398,"Byron Howard, Rich Moore",1,82.0
399,C Premkumar,1,14.0
400,C V Kumar,1,38.0
401,C. Nichols,1,23.0
402,C.J. Wallis,1,62.0
403,Cal Brunker,1,49.0
404,Cameron Crowe,1,85.0
405,Camille Delamarre,2,45.5
406,Carl Gottlieb,1,52.0
407,Carl Hunter,1,67.0
408,Carl Mendez,1,9.0
409,Carl Pierson,1,14.0
410,Carles Torras,1,51.0
411,Carlos Diegues,1,24.0
412,Carlos Moreno,1,20.0
413,Carlos Morett,1,19.0
414,Carlos Pérez Osorio,1,65.0
415,Carlos Sorín,1,44.0
416,Carlos Vermut,1,65.0
417,Caroline Suh,1,79.0
418,Cary Joji Fukunaga,1,78.0
419,Caryn Waechter,1,20.0
420,Casey Affleck,1,70.0
421,Cassi Simonds,1,26.0
422,Castille Landon,1,37.0
423,Cate Shortland,1,65.0
424,"Catherine Bainbridge, Alfonso Maiorana (Co-Director)",1,79.0
425,Catherine Cyran,1,28.0
426,"Catherine Gund, Daresha Kyi",1,76.0
427,Cathy Garcia-Molina,7,37.42857142857143
428,"Cavi Borges, Luciano Vidigal",1,46.0
429,"Cecilia Atán, Valeria Pivato",1,63.0
430,Cecilia Peck,1,30.0
431,Cecilia Verheyden,1,69.0
432,Cedric Nicolas-Troyan,1,54.0
433,Cess Silvera,1,52.0
434,"Chad Barager, Kevin Speckmaier",1,71.0
435,Chad Cohen,1,11.0
436,Chad L. Scheifele,1,32.0
437,Chad Van De Keere,1,18.0
438,Chaitanya Tamhane,1,76.0
439,Chandra Liow,1,11.0
440,Chantelle Squires,1,21.0
441,Charles Binamé,1,56.0
442,Charles Burnett,1,14.0
443,Charles Dance,1,64.0
444,Charles Haid,1,63.0
445,Charles Nichols,5,24.8
446,Charles Robert Carner,1,22.0
447,Charles Stone III,2,49.0
448,Charles Walters,1,21.0
449,Charlie McDowell,1,72.0
450,Charlie Scharfman,1,9.0
451,Charlotte Zwerin,1,78.0
452,Che Sandoval,1,25.0
