title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
Ordinary Love,,,73.0,,,,
Just Charlie,,,49.0,,,,
Safe,,,61.0,,,,
The Last Stand,,,61.0,,,,
A Certain Scientific Railgun,,,63.0,,,,
The Wretched,,,56.0,,,,
In My Skin,,,28.0,,,,
Ladhood,,,13.0,,,,
Rattlesnakes,,,12.0,,,,
Ana,,,33.0,,,,
The Pickup Game,,,29.0,,,,
The Wolf Hour,,,49.0,,,,
The Traitor,,,75.0,,,,
My Scientology Movie,,,69.0,,,,
The New York Times Presents,,,37.0,,,,
Black Butler,,,76.0,,,,
Sea Fever,,,60.0,,,,
The Fosters,,,81.0,,,,
The Other Lamb,,,59.0,,,,
The House That Jack Built,,,63.0,,,,
Citizen Soldier,,,34.0,,,,
Intervention,,,50.0,,,,
Rebel in the Rye,,,56.0,,,,
Mission: Impossible - Ghost Protocol,,,78.0,,,,
Carrion,,,4.0,,,,
Digimon Adventure:,,,53.0,,,,
Merlin,,,77.0,,,,
Crawl,,,66.0,,,,
Forensic Files,,,72.0,,,,
Pan,,,44.0,,,,
Crossing Swords,,,35.0,,,,
A Beautiful Planet,,,78.0,,,,
Fires of Kuwait,,,30.0,,,,
Into the Deep,,,14.0,,,,
Tyler Perry's The Haves and the Have Nots,,,66.0,,,,
Frankie,,,54.0,,,,
The Paynes,,,16.0,,,,
4th Man Out,,,62.0,,,,
Almost Adults,,,55.0,,,,
Dirty Dancing: Havana Nights,,,54.0,,,,
Hail Columbia!,,,12.0,,,,
Happily N'Ever After,,,37.0,,,,
Just Eat It: A Food Waste Story,,,45.0,,,,
Maximilian,,,21.0,,,,
Spider-Man,,,73.0,,,,
The 10 Year Plan,,,51.0,,,,
Westworld,,,78.0,,,,
Disappearance at Clifton Hill,,,58.0,,,,
Rig 45,,,19.0,,,,
Doc McStuffins,,,37.0,,,,
The Titan Games,,,39.0,,,,
The Tracker,,,16.0,,,,
AKA Jane Roe,,,71.0,,,,
The Painter and the Thief,,,79.0,,,,
Top End Wedding,,,58.0,,,,
Already Tomorrow in Hong Kong,,,60.0,,,,
Cosmos,,,59.0,,,,
Da Sweet Blood of Jesus,,,49.0,,,,
Scandal,,,76.0,,,,
The Mandela Effect,,,51.0,,,,
Digimon Frontier,,,53.0,,,,
Digimon Tamers,,,57.0,,,,
Fast N' Loud,,,62.0,,,,
Saving Flora,,,24.0,,,,
The Cat Rescuers,,,23.0,,,,
Just Shoot Me,,,65.0,,,,
Claws,,,73.0,,,,
Pitch,,,75.0,,,,
The Hustle,,,46.0,,,,
Pain and Glory,,,83.0,,,,
Arte,,,43.0,,,,
Listeners,,,29.0,,,,
Boomtown,,,3.0,,,,
Darwin's Game,,,67.0,,,,
Harry Benson: Shoot First,,,68.0,,,,
Missing 411,,,46.0,,,,
The Dinner,,,40.0,,,,
2 Days in Paris,,,70.0,,,,
Little Joe,,,56.0,,,,
Barking Dogs Never Bite,,,68.0,,,,
Force Majeure,,,78.0,,,,
Jesus Camp,,,73.0,,,,
Let the Right One In,,,83.0,,,,
Mother,,,83.0,,,,
Parasite,,,91.0,,,,
Breaking Amish,,,15.0,,,,
Hatfields & McCoys,,,74.0,,,,
Gravity,,,36.0,,,,
Big Time Adolescence,,,72.0,,,,
Taboo,,,79.0,,,,
Atlanta,,,87.0,,,,
Better Things,,,82.0,,,,
Monos,,,75.0,,,,
Hillary,,,47.0,,,,
Knives and Skin,,,51.0,,,,
Devs,,,75.0,,,,
