title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
Garfield's Fun Fest,"Mark A.Z. Dippé, Eondeok Han","Frank Welker, Tim Conway, Gregg Berger, Wally Wingert, Audrey Wasilewski, Fred Tatasciore, Stephen Stanton, Jennifer Darling, Neil Ross, Greg Eagles",25.0,,,,
Hot Gimmick: Girl Meets Boy,Yuki Yamato,"Miona Hori, Hiroya Shimizu, Shotaro Mamiya, Mizuki Itagaki, Hiyori Sakurada, Kaisei Kamimura, Ai Yoshikawa, Ryohei Shima, Asuka Kurosawa, Kazuya Takahashi, Takashi Sorimachi, Riho Yoshioka",22.0,,,,
Grand-Daddy Day Care,Ron Oliver,"Danny Trejo, Reno Wilson, Margaret Avery, Barry Bostwick, Julia Duffy, Anthony Gonzalez, Linda Gray, James Hong, Hal Linden, Alec Mapa",25.0,,,,
Bigger Fatter Liar,Ron Oliver,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",24.0,,,,
Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan",31.0,,,,
MFKZ,"Shojiro Nishimi, Guillaume Renard","Kenn Michael, Vince Staples, Dino Andrade, Michael Chiklis, Giancarlo Esposito, Jorge Gutierrez, Dascha Polanco, RZA, Danny Trejo, Antonio Alvarez",59.0,,,,
Jacob's Ladder,David M. Rosenthal,"Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet, Joseph Sikora, Karla Souza, Ritchie Coster, Jon Eyez",33.0,1.0,37.0,,
Back of the Net,Louise Alston,"Sofia Wylie, Tiarnie Coupland, Trae Robin, Gemma Chua-Tran, Ashleigh Ross, Yasmin Honeychurch, Raj Labade, Christopher Kirby, Melissa Bonne, Kate Box",30.0,,,,
The Danish Girl,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Ben Whishaw, Sebastian Koch, Amber Heard, Matthias Schoenaerts, Pip Torrens, Nicholas Woodeson, Emerald Fennell, Adrian Schiller",69.0,,,,
The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Guy Pearce, Timothy Spall, Derek Jacobi, Jennifer Ehle, Anthony Andrews, Claire Bloom, Eve Best, Michael Gambon",85.0,,,,
Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat, Kumud Mishra, Chandan Roy Sanyal, Arya Babbar, Shivkumar Subramaniam, Tom Alter, Jacqueline Fernandez",16.0,,,,
Girls und Panzer,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda",54.0,,,,
Luck by Chance,Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia, Isha Sharvani, Sanjay Kapoor, Juhi Chawla, Hrithik Roshan, Alyy Khan, Sheeba Chaddha",62.0,2.0,72.5,,
Zindagi Na Milegi Dobara,Zoya Akhtar,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin, Deepti Naval, Naseeruddin Shah, Ariadna Cabrol",82.0,2.0,72.5,,
Talaash,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",68.0,2.0,45.0,,
The Sky Is Pink,Shonali Bose,"Rohit Saraf, Zaira Wasim, Farhan Akhtar, Priyanka Chopra",68.0,,,,
Michelle Wolf: Joke Show,Lance Bangs,Michelle Wolf,57.0,5.0,49.6,1.0,37.0
A Family Reunion Christmas,Robbie Countryman,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree",13.0,,,,
It Comes at Night,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough, Kelvin Harrison Jr., David Pendleton, Griffin Robert Faulkner",67.0,1.0,78.0,,
No Game No Life: Zero,Atsuko Ishizuka,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Toru Okawa, Kazuyuki Okitsu, Junichi Suwabe, Lynn, Yui Horie, Nanako Mori, Ryota Takeuchi",74.0,,,,
A Christmas Prince: The Royal Baby,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Raj Bajaj, Richard Ashton, Tahirah Sharif, Joel McVeagh, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu, Billy Angel",49.0,,,,
A Christmas Prince: The Royal Wedding,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh",52.0,,,,
Judy Moody and the Not Bummer Summer,John Schultz,"Jordana Beatty, Heather Graham, Parris Mosteller, Preston Bailey, Kristoffer Ryan Winters, Garrett Ryan, Jaleel White, Ashley Boettcher, Taylar Hender, Cameron Boyce, Jenica Bergere, Janet Varney",47.0,,,,
Tiffany Haddish: Black Mitzvah,Linda Mendoza,Tiffany Haddish,29.0,2.0,52.5,5.0,55.8
A Cinderella Story: Christmas Wish,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson",51.0,,,,
Cut Bank,Matt Shakman,"Liam Hemsworth, Teresa Palmer, Billy Bob Thornton, Bruce Dern, John Malkovich, Michael Stuhlbarg, Oliver Platt",48.0,,,,
The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",27.0,1.0,61.0,,
The Shaukeens,Abhishek Sharma,"Akshay Kumar, Annu Kapoor, Piyush Mishra, Lisa Haydon, Anupam Kher",20.0,1.0,61.0,,
I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt",79.0,,,,
Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",45.0,3.0,43.666666666666664,,
The Body Remembers When the World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese",51.0,,,,
Shot Caller,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal, Emory Cohen, Jeffrey Donovan, Evan Jones, Benjamin Bratt, Holt McCallany",69.0,2.0,64.0,,
Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",29.0,,,,
Earthquake Bird,Wash Westmoreland,"Alicia Vikander, Riley Keough, Naoki Kobayashi, Jack Huston, Kiki Sukezane, Yoshiko Sakuma, Ken Yamamura, Kazuhiro Muroyama, Akiko Iwase, Crystal Kay",53.0,,,,
Klaus,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack",82.0,,,,
Paradise Beach,Xavier Durringer,"Sami Bouajila, Tewfik Jallab, Mélanie Doutey, Hugo Becker, Kool Shen, Hubert Koundé, Seth Gueko, Sonia Couling, Chalad Na Songkhla, Flore Bonaventura, Nessbeal, Dorian N'Goumou dit Dosseh, Hache-P",26.0,,,,
Shadow,Zhang Yimou,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu",77.0,,,,
The Lovers,Azazel Jacobs,"Aidan Gillen, Melora Walters, Tyler Ross, Jessica Sula, Lesley Fera, Tracy Letts, Debra Winger",65.0,,,,
Tune in for Love,Jung Ji-woo,"Kim Go-eun, Jung Hae-in, Park Hae-joon, Kim Guk-hee, Jung Eugene, Choi Jun-young, Yoo Yeol, Nam Mun-cheol",66.0,,,,
Minimalism: A Documentary About the Important Things,Matt D'Avella,"Joshua Fields Millburn, Ryan Nicodemus",62.0,,,,
A Fairly Odd Summer,Savage Steve Holland,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings",25.0,2.0,39.5,,
Malibu Rescue,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, JT Neal, Ian Ziering, Bryana Salaz, Camaron Engels, Jeremy Howard, Jeff Meacham",37.0,2.0,39.5,,
Hey Arnold! The Jungle Movie,"Raymie Muzquiz, Stu Livingston","Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui",76.0,,,,
"Liar, Liar, Vampire",Vince Marcello,"Rahart Adams, Brec Bassinger, Tiera Skovbye, Larissa Albuquerque, Sarah Grey, Drew Tanner, Pauline Egan, Alex Zahara, Samuel Patrick Chu",36.0,4.0,43.75,,
The Man Without Gravity,Marco Bonfanti,"Elio Germano, Michela Cescon, Elena Cotta, Silvia D'Amico, Vincent Scarito",58.0,,,,
Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",25.0,,,,
"Bring It On, Ghost",Park Joon-hwa,"Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun",64.0,,,,
The Awakening of Motti Wolkenbruch,Michael Steiner,"Inge Maux, Noémie Schmidt, Joel Basman, Sunnyi Melles, Udo Samel, Rachel Braunschweig, Oriana Schrage, Meytal Gal",54.0,,,,
Revenge of the Pontianak,"Glen Goei, Gavin Yap","Nur Fazura, Remy Ishak, Hisyam Hamid, Shenty Feliziana, Nam Ron, Tony Eusoff, Wan Hanafi Su",10.0,,,,
Jenny Slate: Stage Fright,Gillian Robespierre,Jenny Slate,53.0,1.0,74.0,7.0,68.85714285714286
Sinister 2,Ciarán Foy,"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco",43.0,1.0,52.0,,
Street Flow,"Leïla Sy, Kery James","Kery James, Jammeh Diangana, Chloé Jouannet, Bakary Diombera",40.0,,,,
The Influence,Dennis Rovira van Boekholt,"Manuela Vellés, Maggie Civantos, Alain Hernández, Claudia Placer, Daniela Rubio, Emma Suárez, Ramón Esquinas, Felipe García Vélez, Mariana Cordero",43.0,,,,
Brother in Love,Onur Bilgetay,"Cem Gelinoğlu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Başar, Ali Erkazan, Özlem Çakar, Selen Domaç, Ferdi Sancar, Güven Hokna",52.0,,,,
In the Tall Grass,Vincenzo Natali,"Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.",49.0,,,,
Rugrats in Paris: The Movie,"Stig Bergqvist, Paul Demeyer","Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh, Cree Summer, Kath Soucie, Michael Bell, Tress MacNeille, Casey Kasem, Joe Alaskey, Debbie Reynolds, Jack Riley, Susan Sarandon, John Lithgow",66.0,,,,
Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,14.0,1.0,28.0,,
Deliha 2,Gupse Özay,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner",29.0,,,,
In the Shadow of the Moon,Jim Mickle,"Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller",55.0,,,,
Inside Man: Most Wanted,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok",51.0,1.0,57.0,,
Under the Eiffel Tower,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole",46.0,,,,
Between Two Ferns: The Movie,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell",62.0,,,,
Criminal: Spain,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",66.0,,,,
Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",58.0,,,,
Oh! Baby,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi",35.0,,,,
Shanghai Fortress,Teng Huatao,"Lu Han, Shu Qi, Shi Liang, Godfrey Gao, Wang Gongliang, Wang Sen, Sun Jialing, Vincent Matile",31.0,,,,
Tall Girl,Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc, Luke Eisner, Clara Wilsey, Anjelika Washington, Rico Paris, Angela Kinsey, Steve Zahn",44.0,,,,
Ee Nagaraniki Emaindi,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",41.0,,,,
Kill Me If You Dare,Şenol Sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",16.0,,,,
Spookley the Square Pumpkin,Bernie Denk,"Sonja Ball, Craig Francis, Rick Jones, Michel Perron, Holly Gauthier-Frankel, Norman Groulx, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin",25.0,,,,
Back to School,"Rémy Four, Julien War","Ludovik, Jérôme Niel, Nicolas Berno, Johann Dionnet, Caroline Anglade, Joséphine Draï, Pauline Deshons, Marc Riso, Romain Lancry, Nicolas Lumbreras, Claire Tran, Pitcho Womba Konga",32.0,,,,
Unbridled,Jota Linares,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",17.0,,,,
Sextuplets,Michael Tiddes,"Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman, Molly Shannon, Debbi Morgan",38.0,3.0,42.333333333333336,,
Whindersson Nunes: Adult,Diego Pignataro,Whindersson Nunes,40.0,,,,
Felipe Neto: My Life Makes No Sense,Diego Pignataro,Felipe Neto,16.0,,,,
Calum von Moger: Unbroken,Vlad Yudin,Calum Von Moger,18.0,4.0,36.75,,
The Hurt Business,Vlad Yudin,Kevin Costner,29.0,4.0,36.75,9.0,62.0
Crazy Beautiful You,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Lorna Tolentino, Gabby Concepcion, Inigo Pascual",34.0,2.0,19.0,,
Can't Help Falling in Love,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",38.0,2.0,19.0,,
Enter the Anime,Alex Burunova,"Kozo Morishita, Yoko Takahashi, Shinji Aramaki, Kenji Kamiyama",27.0,,,,
Manu,Phanindra Narsetti,"Raja Goutham, Chandini Chowdary, Bomma Sreedhar, John Kottoly, Srikanth Mullagiri, Ravi Teja",10.0,,,,
Cities of Last Things,Wi Ding Ho,"Jack Kao, Lee Hong-chi, Louise Grinberg, Huang Lu, Ding Ning",54.0,,,,
Blood Will Tell,"Miguel Cohan, Miguel Cohan","Oscar Martínez, Dolores Fonzi, Diego Velázquez, Paulina Garcia, Luis Gnecco, Malena Sánchez, Emilio Vodanovich, Norman Briski",34.0,,,,
The Wolf's Call,Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer, Alexis Michalik, Jean-Yves Berteloot, Damien Bonnard, Pierre Cevaër, Sébastien Libessart",74.0,,,,
Pihu,Vinod Kapri,Pihu Myra Vishwakarma,58.0,,,,
Murder Mystery,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Luis Gerardo Méndez, Dany Boon, Terence Stamp",52.0,1.0,44.0,,
The 3rd Eye 2,Rocky Soraya,"Jessica Mila, Bianca Hello, Nabilah Ayu, Sophia Latjuba, Jeremy Thomas",19.0,2.0,31.5,,
The Doll,Rocky Soraya,"Shandy Aulia, Denny Sumargo, Sara Wijayanto, Vitta Mariana Barrazza, Demian Aditya, Faiza Mahnur, Hans Gunawan, Aslam Abad, Annette Edoarda, Wenty Mamenda",24.0,2.0,31.5,,
Chopsticks,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz",44.0,2.0,19.0,,
Svaha: The Sixth Finger,Jang Jae-hyun,"Lee Jung-jae, Park Jung-min, Lee Jae-in, Yoo Ji-tae, Jung Jin-young, Lee Da-wit, Jin Seon-kyu, Ji Seung-hyeon, Min Tanaka",60.0,,,,
The Man Who Feels No Pain,Vasan Bala,"Abhimanyu Dassani, Radhika Madan, Gulshan Devaiah, Mahesh Manjrekar, Jimit Trivedi, Loveleen Mishra, Sartaaj Kakkar, Riva Arora",68.0,,,,
See You Yesterday,Stefon Bristol,"Eden Duncan-Smith, Dante Crichlow, Astro, Johnathan Nieves, Marsha Stephanie Blake, Wavyy Jonez, Myra Lucretia Taylor",63.0,,,,
Good Sam,Kate Melville,"Tiya Sircar, Chad Connell, Marco Grazzini, Jesse Camacho, Mark Camacho, Elana Dunkelman, Kelly Hope Taylor, Kenny Wong, Daniela Sandiford, Christina Tannous",52.0,,,,
Jonaki,Aditya Vikram Sengupta,"Lolita Chatterjee, Sumanto Chattopadhyay, Ratnabali Bhattacharjee, Jim Sarbh, Indrajit Sinha, Sandershika Tamang, Arunima Sinha, Satya Priya Chakraborty, Christel Das, Burjor Patel",11.0,,,,
Hamid,Aijaz Khan,"Talha Arshad Reshi, Rasika Dugal, Vikas Kumar, Sumit Kaul, Bashir Lone, Gurveer Singh, Ashraf Nagoo, Mir Sarvar",18.0,,,,
Backdraft 2,Gonzalo López-Gallego,"Joe Anderson, William Baldwin, Donald Sutherland, Alisha Bailey, Alastair Mackenzie, Dominic Mafham, Jessamine-Bliss Bell, Martin Hutson, Aaron McCusker, Cyril Nri",37.0,1.0,41.0,,
The Hollow Point,Gonzalo López-Gallego,"Patrick Wilson, Ian McShane, John Leguizamo, Lynn Collins, Jim Belushi, Karli Hall, David H. Stevens, Derek Boone",46.0,1.0,41.0,,
Shéhérazade,Jean-Bernard Marlin,"Dylan Robert, Kenza Fortas, Idir Azougli, Lisa Amedjout, Sofia Bent, Nabila Bounad, Kader Benchoudar, Nabila Ait Amer",51.0,,,,
Gatao 2: Rise of the King,Yen Cheng-kuo,"Collin Chou, Jason Wang, Jack Kao, Tsai Chen-nan, Lu Hsueh-feng, Peng Sun",12.0,,,,
The Wandering Earth,Frant Gwo,"Jing Wu, Chuxiao Qu, Jinmai Zhao, Li Guangjie, Ng Man-Tat, Mike Kai Sui, Qu Jingjing, Yichi Zhang, Yang Haoyu, Arkady Sharogradsky, Hongchen Li, Lei Jiayin, Yi Yang, Zhigang Jiang, Huan Zhang",63.0,,,,
Crime Diaries: Night Out,Felipe Cano,"Sebastián Osorio, Fabiana Medina, Laura Osma, Enrique Carriazo, Julián Román, Juliana Velásquez, Juan Pablo Urrego, Carlos Vergara, Ernesto Campos, Fabio Rubiano, Ernesto Benjumea, Jairo Camargo, Marcela Agudelo",33.0,,,,
Someone Great,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Lakeith Stanfield, RuPaul Charles, Peter Vack, Alex Moffat, Rosario Dawson, Rebecca Naomi Jones, Jaboukie Young-White, Michelle Buteau, Questlove",67.0,,,,
About Time,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, Lindsay Duncan, Richard Cordery, Tom Hollander, Margot Robbie, Joshua McGuire, Vanessa Kirby",75.0,,,,
Thriller,Dallas Jackson,"Jessica Allain, Luke Tennie, Tequan Richmond, Paige Hurd, Chelsea Rendon, Mitchell Edwards, Pepi Sonuga, Jason Woods, Maestro Harrell, RZA, Mykelti Williamson",34.0,1.0,35.0,,
Persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","Lee Ji-eun (IU), Bae Doona, Park Hae Soo, Kim Tae-hun, Shim Dal-gi, Lee Sung-wook, Jung Jun Won",84.0,,,,
Alien Warfare,Jeremiah Jones,"Clayton Snyder, David Meadows, Daniel Washington, Scott C. Roe, Larissa Andrade, Sal Rendino, Jose Guns Alves, Scott King",24.0,,,,
Petta,Karthik Subbaraj,"Rajnikanth, Vijay Sethupathi, M. Sasikumar, Nawazuddin Siddiqui, Trisha Krishnan, Simran",62.0,1.0,44.0,,
Ek Ladki Ko Dekha Toh Aisa Laga,Shelly Chopra Dhar,"Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Abhishek Duhan, Regina Cassandra, Madhumalti Kapoor, Seema Pahwa, Brijendra Kala, Alka Badola Kaushal",57.0,,,,
Bayonet,Kyzza Terrazas,"Luis Gerardo Méndez, Brontis Jodorowsky, Joonas Saartamo, Laura Birn, Ilkka Koivula, Ville Virtanen, Raúl Villegas, Miriam Balderas, Ximena Guzmán",30.0,,,,
Mirage,Oriol Paulo,"Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte, Nora Navas, Miquel Fernández, Clara Segura, Mima Riera, Aina Clotet, Albert Pérez, Julio Bohigas-Couto, Belén Rueda",73.0,1.0,83.0,,
The Dirt,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker, Daniel Webber, David Costabile, Pete Davidson",59.0,,,,
The Third Party,Jason Paul Laxamana,"Sam Milby, Angel Locsin, Zanjoe Marudo, Cherry Pie Picache, Alma Moreno, Matet De Leon, Al Tantay, Beauty Gonzalez, Katrina Michelle Legaspi",13.0,1.0,8.0,,
The Unmarried Wife,Maryo J. De los Reyes,"Angelica Panganiban, Dingdong Dantes, Paulo Avelino, Maricar Reyes, Denise Laurel, Dimples Romana, Justin Cuyugan, Mart Escudero, Pamu Pamorada, Lei Andre Navarro, Irma Adlawan",17.0,,,,
5 Flights Up,Richard Loncraine,"Josh Pais, Claire van der Boom, Morgan Freeman, Diane Keaton, Carrie Preston, Cynthia Nixon, Korey Jackson, Diane Ciesla, Michael Cristofer",54.0,,,,
Edoardo Ferrario: Temi Caldi,Francesco Imperato,Edoardo Ferrario,20.0,1.0,7.0,,
Jeff Dunham's Very Special Christmas Special,Michael Simon,"Jeff Dunham, Brian Haner",56.0,1.0,36.0,,
Barcelona: A Love Untold,Olivia M. Lamasan,"Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, Joey Marquez, Ricky Davao, Maria Isabel Lopez, Ana Capri, Cris Villanueva",32.0,1.0,30.0,,
Triple Frontier,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",61.0,1.0,72.0,,
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,Brian Klein,Jimmy Carr,57.0,,,1.0,53.0
Jimmy Carr: Funny Business,Sam Wrench,Jimmy Carr,59.0,,,1.0,53.0
Jack Whitehall: At Large,Brian Klein,Jack Whitehall,49.0,,,3.0,51.0
Juanita,Clark Johnson,"Alfre Woodard, Adam Beach, LaTanya Richardson Jackson, Marcus Henderson, Blair Underwood, Ashlie Atkinson, Tsulan Cooper",60.0,,,,
Walk. Ride. Rodeo.,Conor Allyn,"Spencer Locke, Missi Pyle, Sherri Shepherd, Bailey Chase, Alyvia Alyn Lind, Max Ehrich, Corbin Bleu, Kathleen Rose Perkins",48.0,,,,
Sarkar,A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",51.0,1.0,45.0,,
Pants on Fire,Jonathan A. Rosenbaum,"Bradley Steven Perry, Joshua J. Ballard, Tyrel Jackson Williams, Brittney Wilson, Taylor Russell, Nicholas Coombe, Rachelle Gillis, Kevin O'Grady",32.0,,,,
Evening Shadows,Sridhar Rangayan,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi, Arpit Chaudhary, Yamini Singh, Abhay Kulkarni, Veena Nair, Disha Thakur",10.0,,,,
Paddleton,Alex Lehmann,"Mark Duplass, Ray Romano",77.0,,,,
Asperger's Are Us,Alex Lehmann,"Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi",46.0,,,,
Blue Jay,Alex Lehmann,"Sarah Paulson, Mark Duplass, Clu Gulager",75.0,,,,
Paris Is Us,Elisabeth Vogler,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet, Lou Castel, Mathias Minne, Margaux Bonin, Julia Kouakou, Alexandre Schreiber, Schemci Lauth, Theo Tagand, Clément Olivieri, Doria Achour",33.0,,,,
Black Sea,Kevin MacDonald,"Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies",66.0,1.0,78.0,,
Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",30.0,1.0,46.0,,
The Breaker Upperers,"Jackie van Beek, Madeleine Sami","Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola, Ana Scotney, Rima Te Wiata, Carl Bland, Brett O'Gorman, Cohen Holloway, Jemaine Clement",63.0,,,,
"Ken Jeong: You Complete Me, Ho",Jon M. Chu,Ken Jeong,48.0,1.0,47.0,3.0,52.0
Justin Bieber: Never Say Never,Jon M. Chu,"Justin Bieber, Ludacris, Usher Raymond, Jaden Smith, Miley Cyrus, Sean Kingston, Boyz II Men",48.0,1.0,47.0,,
Kevin Hart's Guide to Black History,Tom Stern,"Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston",45.0,,,,
The Tree of Blood,Julio Medem,"Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz, Daniel Grao, Joaquín Furriel, Maria Molins, Emilio Gutiérrez Caba, Luisa Gavasa, José María Pou, Ángela Molina",51.0,,,,
