,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
6338,s3232,Movie,APEX: The Story of the Hypercar,"John Francis Musial, Joshue Vietze","Christian von Koenigsegg, Horacio Pagani, Frank Walliser, Paul, Chris, Dan, Halldora von Koenigsegg, Robert Serwanski, Mike",,,2016,13+,86 min,Documentary,"APEX: The Story of the Hypercar spotlights exotic sports cars designed to blast from zero to 200 miles per hour in seconds. Rocket science meets the auto industry as ""APEX"" follows a thread that starts in the design studios and R&D labs where these ""fighter jets of the street"" are created, and leads to a perilous racetrack in Germany where drivers can reach new heights of speed an",amazon_prime,49.0,tt4325400,Documentary
6340,s3234,Movie,Any Day Now,Travis Fine,"Alan Cumming, Garret Dillahunt",United States,,2012,R,98 min,"Drama, LGBTQ","Based on a true story from the 1970s, Any Day Now is a powerful tale of love, acceptance and family. When a teenager with Down syndrome is abandoned by his mother, a gay couple take him in and become the loving family he's never had. But when their living arrangement is discovered, the men are forced to fight a biased legal system to save the life of the child they have come to love as their own.",amazon_prime,63.0,tt2066176,Drama
6341,s3235,Movie,Any Bullet Will Do,Justin Lee,"Kevin Makely, Bruce Davison, Jenny Curtis, Meg Foster, Todd A. Robinson",,,2018,18+,107 min,"Action, Drama, Western","Taking place during 1876 in Montana, a ruthless headhunter tracks his own Brother through Big Sky country with the help of a young fur trapper.",amazon_prime,9.0,tt4985906,Action
6342,s3236,Movie,Anthem of a Teenage Prophet,Robin Hays,"Cameron Monaghan, Peyton List, Juliette Lewis, Grayson Gabriel",,,2019,,102 min,"Drama, Young Adult Audience","Based on the award-winning novel, a teenager's gift of premonition becomes a curse when after predicting the death of one of his friends, Luke Hunter is dubbed the 'prophet of death' by a local news reporter. A media madhouse infiltrates Luke's life, desperate to know more. Troubled and confused, Luke must make sense of his newfound abilities in this fast-moving tale of struggling youth.",amazon_prime,20.0,tt6054710,Drama
6344,s3238,Movie,Antarctica,Keith Bearden,"Chloë Levine, Kimie Muroya, Bubba Weiler, Steve Lipman, Clea Lewis",,,2020,18+,81 min,"Comedy, Drama","Life-long friends Kat & Janet see everything flipped upside down as they hit senior year. Shy Kat is now popular, hooking up at parties, while misfit Janet is put on strange medication for her ""bad behavior."" Things get even odder when Janet meets a cute boy who might be a time traveler, & Kat's panicked parents send her off to sex rehab. Can anything make life in the suburbs normal again?",amazon_prime,22.0,tt6235644,Comedy
6346,s3240,TV Show,Anonymous Noise,,,,,2017,TV-14,1 Season,"Anime, Drama, International","Nino sings for one reason only: to be found. Blessed with a beautiful voice, she wishes to reunite with two childhood friends: Momo and Yuzu. Things start to change as she enters her first year of high school.",amazon_prime,25.0,tt6858404,Anime
6350,s3244,Movie,Anna,Jorge Dorado,"Mark Strong, Brian Cox, Taissa Farmiga",,,2014,R,99 min,"Horror, Science Fiction, Suspense","A man with the ability to enter peoples' memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",amazon_prime,54.0,tt1715336,Horror
6351,s3245,Movie,Anita,Freida Lee Mock,Anita Hill,,,2014,13+,77 min,"Documentary, Special Interest","A profile of Anita Hill, the African-American lawyer who challenged Clarence Thomas' nomination to the US Supreme Court and thus exposed the problem of sexual harassment to the world.",amazon_prime,71.0,tt2481202,Documentary
6355,s3249,Movie,Animal,Brett Simmons,"Elizabeth Gillies, Joey Lauren Adams, Keke Palmer",,,2015,18+,82 min,Horror,"A vicious, bloodthirsty predator traps a group of friends (Keke Palmer, Jeremy Sumpter, Elizabeth Gillies) in an isolated cabin.",amazon_prime,43.0,tt2996684,Horror
6357,s3251,Movie,Angrezi Mein Kehte Hain,Harish Vyas,"Sanjay Mishra, Ekavali Khanna, Anshuman Jha, Shivani Raghuvanshi, Brijendra Kala, Pankaj Tripathi, Ipshita Singh Chokroberty, Imran Zahid, Teji Sandhu, Manish Shukla, Mira Mishra, Priyanka Pandey, Manav Malhotra",,,2018,NR,108 min,"Comedy, Drama","A unique tale of romance, with three couples who have very distinct views on what everlasting love is.",amazon_prime,19.0,tt6613812,Comedy
6359,s3253,Movie,Angels in the Snow,George Erschbamer,"Kristy Swanson, Chris Potter, Colin Lawrence",,,2015,ALL,90 min,Drama,"Charles and Judith take their kids to their remote cabin for Christmas where tensions between them threaten to boil over, but when another family gets stranded by a storm, they all learn a lesson about sticking together.",amazon_prime,30.0,tt4480940,Drama
6361,s3255,Movie,Angela's Ashes,Alan Parker,"Emily Watson, Robert Carlyle, Joe Breen, Ciaran Owens, Michael Legge, Ronnie Masterson, Pauline McLynn, Liam Carney, Eanna MacLiam, Andrew Bennett",,,2000,R,146 min,"Adventure, Drama","Life in impoverished Depression-era Ireland holds little promise for young Frank McCourt, the oldest son in a tightly-knit family. Frank embarks on a journey to overcome the poverty of his childhood and reach the land of his dreams: America.",amazon_prime,67.0,tt0145653,Adventure
6363,s3257,Movie,Angel and the Badman,James Edward Grant,"John Wayne, Gail Russell, Harry Carey",,,1947,7+,100 min,"Action, Romance, Western","Quirt Evans, an all round bad guy, is nursed back to health and sought after by Penelope Worth, a Quaker girl. He eventually finds himself having to choose between his world and the world Penelope lives in.",amazon_prime,56.0,tt0039152,Action
6365,s3259,Movie,Andy Murray: Resurfacing,Olivia Cappuccini,Andy Murray,United Kingdom,,2019,16+,109 min,Documentary,"A documentary film that tracks the tennis star’s devastating injury journey between 2017-2019. From the front lines of surgical theatres, to the intimate corners of his home, we live alongside and witness Andy at his most vulnerable. Considered Britain’s greatest sportsman ever, we see why Andy puts himself through the unimaginable to get back to the sport he loves.",amazon_prime,25.0,tt11243364,Documentary
6373,s3267,TV Show,An Unknown Enemy,,"Karina Gidi, Hernán del Riego, Daniel Giménez Cacho, Irene Azuela, Roberto Duarte, Antonio de la Vega, Fernando Becerril",Mexico,,2018,16+,1 Season,"Drama, International, Suspense","[New episode every Friday] Fernando Barrientos, Head of the National Security Directorate, Mexico's Secret Police, is trying to reach the highest position in the country. On his way, he'll have to manipulate, betray, and kill, and he's well prepared for it. However, his path will be full of obstacles. Nobody, not even his family, will be immune to the chaos left in his quest for total power.",amazon_prime,31.0,tt8946436,Drama
6375,s3269,Movie,An American Carol,David Zucker,"Kevin Farley, Kelsey Grammer, Dennis Hopper, David Alan Grier, James Woods, Jon Voight, Leslie Nielsen, Trace Adkins, Robert Davi",,,2008,PG-13,82 min,Comedy,"From David Zucker, the director of Naked Gun and Airplane!, comes a bare-knuckle comedy where no one is safe from the onslaught of lunacy! Starring Kelsey Grammer, Dennis Hopper, and Leslie Nielsen.",amazon_prime,28.0,tt1190617,Comedy
6378,s3272,Movie,Amish Grace,Gregg Champion,"Kimberly Williams-Paisley, Tammy Blanchard, Fay Masterson, Madison Mason, Gary Graham, Darcy Rose Byrnes, Karley Scott Collins, Eugene Byrd, Matt Letscher, David Mazouz, Amy Sloan",,,2010,13+,89 min,"Drama, Faith and Spirituality","Based on true events surrounding the aftermath of a shooting at an Amish school in Pennsylvania. Through the eyes of the devastated families, the film explores the Amish community's astonishing reaction to the horrific shootings - one of forgiveness and compassion.",amazon_prime,40.0,tt1559025,Drama
6380,s3274,TV Show,American Ripper,,Jeff Mudgett,,,2017,TV-14,1 Season,"Documentary, Drama, Special Interest",H.H. Holmes was America's first serial killer believed to have killed nearly 200 people in the late 19th century.,amazon_prime,28.0,tt7132032,Documentary
6403,s3297,Movie,Ambili,Johpaul George,"Soubin Shahir, Naveen Nazim, Tanvi Ram",,,2019,ALL,138 min,"Comedy, Drama, International","Ambili is the most lovable person in his village. He has all the love from the villagers, but boby is the luckiest to be loved the most by ambili. Rest is upto ambili who is going to take your for fun filled joyride.",amazon_prime,22.0,tt8282830,Comedy
6409,s3303,Movie,Amar Akbar Anthony,Srinu Vaitla,"Ravi Teja, Ileana D’Cruz",,,2018,13+,148 min,"Drama, International","The film revolves around the hilarious turn of events in the lives of Amar, Akbar and Anthony which are played by Teja.",amazon_prime,9.0,tt8107464,Drama
6410,s3304,Movie,Amal,Richie Mehta,"Rupinder Nagra, Naseeruddin Shah, Seema Biswas, Koel Purie, Vik Sahay, Roshan Seth",Canada,,2008,18+,104 min,Drama,"Amal is an emotionally evocative story about an auto-rickshaw driver in New Delhi (Amal) who is content with his small, but vital role in life. One day he drives an eccentric billionaire (G.K. Jayaram) who, is searching the streets for the last morsel of humanity and someone he can leave all his money to, and Amal's life may change forever.",amazon_prime,50.0,tt0907674,Drama
6416,s3308,Movie,Alphabet City,Amos Poe,"Vincent Spano, Michael Winslow",,,1984,R,85 min,Drama,"A 19 year-old New York City drug dealer is King of Alphabet City, 50 blocks of urban decay that houses an underground narcotics market, decides to get out of the business, but has to flee from mobsters.",amazon_prime,44.0,tt0086877,Drama
6417,s3309,TV Show,Alpha House,,"John Goodman, Mark Consuelos, Matt Malloy, Clark Johnson, Yara Martinez",United States,,2014,18+,2 Seasons,"Comedy, Drama","An Amazon Original series: They work in the Senate. They live in the house - Alpha House. Created by Garry Trudeau (Doonesbury, Tanner '88).",amazon_prime,72.0,tt3012160,Comedy
6425,s3317,TV Show,All Together Now,,"Rob Beckett, Geri Horner",,,2019,16+,2 Seasons,"Documentary, Unscripted","Altogether Now, our favourite Saturday night singalong is back with a bang! The new series brings us outstanding talent, a huge range of musical styles and a load of laughs from host Rob Beckett.",amazon_prime,64.0,tt3155342,Documentary
6426,s3318,Movie,All She Wishes,Letia Clouston,"Lexi Giovagnoli, Calum Worthy, Diedrich Bader, Julia Duffy",,,2014,7+,89 min,Drama,"When her birthday wish magically summons wacky Hollywood actor Drake to her small Midwestern town, Sophie has to figure out how to help him fit in until she can get him back home. But Drake is more interested in helping Sophie stand out.",amazon_prime,10.0,tt3449658,Drama
6429,s3321,TV Show,All or Nothing: Tottenham Hotspur,,,,,2020,16+,1 Season,"Documentary, Sports, Unscripted","Go behind the scenes of Tottenham Hotspur Football Club during one of the most defining seasons in their history. Chairman Daniel Levy makes the mid-season decision to sack manager Mauricio Pochettino and hire José Mourinho. Players including Dele Alli, Heung-Min Son and Harry Kane fight to put the club amongst Europe’s elite against the backdrop of the global coronavirus crisis.",amazon_prime,72.0,tt11188556,Documentary
6432,s3324,TV Show,All or Nothing: Manchester City,,Ben Kingsley,,,2018,16+,1 Season,"Documentary, Special Interest, Sports","In this ground-breaking docu-series, follow Manchester City behind the scenes throughout their Premier League winning, record-breaking ‘17-18 season. Get an exclusive look into one of the best global sports clubs, including never-before-seen dressing room footage with legendary coach Pep Guardiola, and delve into the players’ lives off and on the pitch.",amazon_prime,72.0,tt7653274,Documentary
6433,s3325,TV Show,All or Nothing: Brazil National Team,,,,,2020,18+,1 Season,TV Shows,"The Brazilian National Team goes on a journey of faith, brotherhood, and hard work to reimagine their identity and to re-engage a disgruntled fanbase as they attempt to win the 2019 Copa América on home soil. From the locker room, trough the trainings, to the games, we go exclusively behind-the-scenes with the world’s most famous football team.",amazon_prime,17.0,tt11621718,TV Shows
6441,s3333,Movie,Alien Code,Michael G. Cooney,"Kyle Gallner, Richard Schiff, Mary McCormack, Azura Skye",,,2018,16+,101 min,"Science Fiction, Suspense","After deciphering a message found in a satellite, genius cryptographer Alex Jacobs finds himself being stalked by government agents and otherworldly beings.",amazon_prime,44.0,tt5453522,Science Fiction
6446,s3338,Movie,Alcatraz,Andrew Jones,"Gareth Lawrence, Derek Nelson, Lee Bane, Erick Hayden",,,2018,16+,87 min,"Action, Drama, Suspense","A group of prisoners, led by an armed robber and a gangster, attempt to escape from the infamous Alcatraz Island.",amazon_prime,11.0,tt7099566,Action
6447,s3339,Movie,Albion: The Enchanted Stallion,Castille Landon,"Daniel Sharman, Liam Mcintyre, Debra Messing, Jennifer Morrison, Castille Landon",,,2017,,106 min,"Adventure, Fantasy, Kids","A twelve-year-old girl is transported by a magical black stallion to the mystical world of ALBION, where she discovers that she alone is the key to saving an entire race of people.",amazon_prime,37.0,tt4518260,Adventure
6452,s3344,Movie,Aida's Secrets,"Alon Schwarz, Shaul Schwarz","Izak Szewelewicz, Shep Shell, Aida Zasadsinska",,,2017,13+,95 min,"Documentary, Suspense","A web of family secrets unravels in this documentary about two brothers, Izak and Shep, who were born inside the Bergen-Belsen displaced persons camp in 1945 and separated as babies, never told of the other's existence. Nearly 70 years later, the discovery of family records leads the brothers to an emotional reunion with their elderly mother, Aida, who hid more from them than just each other.",amazon_prime,34.0,tt5706568,Documentary
6453,s3345,Movie,Agent Sai Srinivasa Athreya,Swarooj RSJ,"Naveen Polishetty, Shruti Sharma",,,2019,13+,145 min,"Drama, International",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,amazon_prime,64.0,tt10214826,Drama
6459,s3351,TV Show,After the Rain,,"Sayumi Watabe, Hiroaki Hirata, Emi Miyazima, Haruka Fukuhara",,,2018,TV-NR,1 Season,TV Shows,"Akira Tachibana(17) used to be the ace of a track club, but gave up running due to her injury. Masami Kondo(45) is a manager at a family restaurant called Garden, where Akira works. This story is set in a seaside town, and depicts a girl who stopped at a cross-point in her youth, and a man who reached a turning point of life. Everybody wants that moment where they get fraught with great emotions.",amazon_prime,63.0,tt6591406,TV Shows
6460,s3352,Movie,After School,William Olsen,"Sam Bottoms, Renee Coleman",,,1988,R,90 min,"Comedy, Drama","September Johnson is the perfect student, full of brains and beauty. But her favorite subject is Michael, an attractive young professor. What September wants to learn from him isn't taught in the classroom. Now the lesson really begins - after school.",amazon_prime,2.0,tt0096770,Comedy
6461,s3353,TV Show,Afsos,,"Gulshan Devaiah, Anjali Patil, Heeba Shah, Robin Das",,,2020,16+,1 Season,"Action, Comedy, Drama",A suicidal man and a deadly assassin encounter the world of immortality in this black comedy suspense thriller.,amazon_prime,31.0,tt10174244,Action
6470,s3362,Movie,Accidentally Engaged,Letia Clouston,"Lexi Giovagnoli, Brant Daugherty, Lexi Atkins, Randy Wayne, Meredith May, Ariana Guerra, Nthenya Ndunda, Joan Severance, Ashley Fink, Maureen McCormick",,,2016,13+,86 min,Comedy,"Famous actor Chas Hunter and aspiring actress Clarissa Byers agree to fake an engagement to improve both their reputations. However, playing pretend starts to feel all too real as the two start to fall for one another.",amazon_prime,41.0,tt4742556,Comedy
6473,s3365,Movie,About Alex,Jesse Zwick,"Aubrey Plaza, Max Greenfield, Maggie Grace, Jason Ritter, Jane Levy, Max Mingehella, Nate Parker",,,2014,R,100 min,"Comedy, Drama","After the stress of adulthood takes its toll, seven college friends reunite for a weekend of partying and shared laughs. Together for the first time in years, old crushes and rivalries are rekindled and a combination of wine, weed and an unexpected dog sends the weekend to unexpected places.",amazon_prime,56.0,tt2667918,Comedy
6474,s3366,Movie,Ablaze,Jim Wynorski,"John Bradley, Tom Arnold, Ice-T",,,2002,R,97 min,"Action, Drama, Suspense","An oil refinery blows up, causing a firestorm that threatens a hospital and everyone inside.",amazon_prime,11.0,tt0217979,Action
6475,s3367,Movie,Abilene Town,Edwin L. Marin,"Ann Dvorak, Randolph Scott, Edgar Buchanan, Rhonda Fleming, Lloyd Bridges",,,1946,13+,89 min,Western,"Abilene, Kansas, town marshal Dan Mitchell (Scott) has managed to keep a tenuous peace by keeping saloons, gambling, and guns on one side of Main Street, and the stores, women, children, and farmers on the other side. Violence and killings begin when homesteaders arrive in town in droves. Dan convinces the shopkeepers to side with the homesteaders. To save his town, Dan pits the saloon owners and cowboys against each other, resulting in a vicious bloodbath. In the midst of the chaos, Dan must make a decision between the two women he loves.",amazon_prime,22.0,tt0038284,Western
6482,s3374,Movie,Aadai,Rathna Kumar,"Amala Paul, Ramya Subramanian, Ananya Ramaprasad, Sriranjani, Vivek Prasanna",India,,2019,18+,127 min,Suspense,A free-spirited girl gets the shock of her life when she finds herself without any clothes in an abandoned building after a late-night party.,amazon_prime,18.0,tt8944398,Suspense
6484,s3376,Movie,A Year in Champagne,David Kennard,Martine Saunier,"United States, France",,2015,13+,82 min,"Documentary, Special Interest","With renowned wine importer Martine Saunier as our guide, we get a rare glimpse behind the scenes into the real Champagne through six houses, from small independent makers to the illustrious houses of Gosset and Bollinger which have been instrumental in shaping the image of Champagne around the world.",amazon_prime,62.0,tt3544048,Documentary
6485,s3377,Movie,A Year in Burgundy,David Kennard,Martine Saunier,"United States, France",,2013,13+,89 min,"Documentary, Special Interest","The film follows seven wine-making families in the Burgundy region of France through the course of a full year, and delves into the cultural and creative process of making wine, as well as its deep ties to the land. The film is in four season-sections, and plays out against that backdrop: spring showers, drought, heat wave, hail and storms, harvest moons and the damp cold of winter.",amazon_prime,20.0,tt2177180,Documentary
6488,s3380,TV Show,A Very English Scandal,,"Hugh Grant, Ben Whishaw, Alex Jennings",,,2018,16+,1 Season,Drama,"The shocking true story of the first British politician to stand trial for conspiracy to murder. Jeremy Thorpe (Hugh Grant), the leader of the Liberal party, has a secret he's desperate to hide. His ex-lover Norman Scott (Ben Whishaw) is putting Thorpe's brilliant political career at risk so Thorpe schemes and deceives until he realizes there’s only one way to silence Scott for good",amazon_prime,80.0,tt6938856,Drama
6489,s3381,Movie,A Turtle's Tale 2: Sammy's Escape from Paradise,"Ben Stassen, Vincent Kesteloot",Khary Payton,,,2011,G,93 min,"Animation, Kids","When Sammy and Ray find themselves trapped in The Tank, an underwater aquarium, they must hatch a plan to escape and reunite with their grandkids, Ricky and Ella, and protect them from the dangers of the ocean.",amazon_prime,36.0,tt2288005,Animation
6496,s3388,Movie,A Taxi Driver,Jang Hoon,"Kang-ho Song, Thomas Kretschmann, Hae-jin Yoo, Jun-yeol Ryu",,,2017,,137 min,"Action, Drama, Suspense","In this powerful drama based on a true story, a down-on-his-luck taxi driver hired by a foreign journalist finds himself in a life-or-death struggle in the midst of the Gwanju Uprising.",amazon_prime,78.0,tt6878038,Action
6503,s3395,Movie,A Reckoning,Justin Lee,"June Dietrich, Kevin Makely, Todd A. Robinson, Lance Henricksen, Meg Foster",,,2018,,81 min,"Suspense, Western","After her husband is brutally murdered, a widowed homesteader seeks revenge and leaves everything behind to hunt down his killer.",amazon_prime,2.0,tt7605084,Suspense
6504,s3396,Movie,A Rainy Day in New York,Woody Allen,"Timothée Chalamet, Jude Law, Elle Fanning, Liev Schreiber, Selena Gomez, Suki Waterhouse, Diego Luna, Rebecca Hall, Kelly Rohrbach",,,2020,13+,93 min,"Comedy, Romance","Woody Allen returns to the romantic fields of previous hits Vicky Cristina Barcelona and Midnight in Paris, assembling an all-star cast including Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna and Liev Schreiber, for a charming, comedic tale set amidst the dizzying streets of The Big Apple, as romantic weekend plans are soon dashed as quickly as the sunlight turns to showers.",amazon_prime,53.0,tt7139936,Comedy
6508,s3400,Movie,A Place in the Sun,George Stevens,"Montgomery Clift, Elizabeth Taylor, Shelley Winters, Anne Revere",,,1951,13+,122 min,Drama,George Eastman is a poor young man determined to win a place in society and the heart of a beautiful socialite (Elizabeth Taylor). Shelley Winters plays the factory girl whose dark secret threatens Eastman's professional and romantic prospects.,amazon_prime,73.0,tt0043924,Drama
6511,s3403,Movie,A Nun's Curse,Tommy Faircloth,"Felissa Rose, Damian Maffei, Kristi Ray, Erika Edwards, Gunner Willis",,,2020,13+,73 min,"Horror, Suspense","On a weekend trip, a group of friends are forced to seek shelter inside an abandoned prison where a nun named Sister Monday had once been assigned. During her time at the prison, Sister Monday was suspected of killing prisoners who were serving out their sentences but before she could be questioned, she disappeared. Once inside the prison, they will learn the terrifying truth.",amazon_prime,20.0,tt8426182,Horror
6512,s3404,Movie,A Mother's Nightmare,Vic Sarin,"Annabeth Gish, Jessica Lowndes, Grant Gustin",,,2012,,89 min,"Drama, Suspense",A recently divorced woman is thrilled when her teenage son is smitten with the new girl in school. Her happiness is short-lived when she discovers her son's new love interest has left a string of dead boyfriends in her wake.,amazon_prime,27.0,tt2401147,Drama
6513,s3405,Movie,A Mile in His Shoes,William Dear,"Luke Schroder, George Canyon, Dean Cain",,,2011,PG,89 min,"Drama, Sports","The story of Mickey Tussler, a young man with a type of autism who is recruited by a passionate coach to pitch for his minor league team. His team is starting another losing season and the coach is getting pressured by the team's owner to start winning games.",amazon_prime,21.0,tt1839390,Drama
6514,s3406,Movie,A Mighty Heart,Michael Winterbottom,"Angelina Jolie, Dan Futterman, Irrfan Khan, Archie Panjabi, Will Patton, Jillian Armenante, Denis O'Hare, Demetri Goritsas, Kimberly Ensey, Jacob Gaffney","United States, United Kingdom",,2007,18+,108 min,Drama,"Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",amazon_prime,71.0,tt0829459,Drama
6526,s3418,Movie,A Girl of the Limberlost,Burt Brinckerhoff,"Annette O'Toole, Joanna Cassidy, Chauncey Leopardi, Devon Odessa",,,1990,13+,105 min,"Drama, Kids","It's 1908 in rural Indiana, and Eleonora Comstock is determined to attend high school. When an unexpected tax comes due, Eleonora's mother forces her to quit school to bring in their crops. But after their crops are ruined by a storm, both mother and daughter must learn to understand each other or lose what they love most.",amazon_prime,13.0,tt0099662,Drama
6536,s3428,Movie,A Death in the Gunj,Konkona Sensharma,"Vikrant Massey, Ranvir Shorey, Kalki Koechlin, Gulshan Devaiah, Tillotama Shome, Jim Sarbh, Om Puri, Tanuja Mukherjee, Arya Sharma",,,2017,18+,106 min,Drama,"Set in 1979, A Death in the Gunj is a coming of age story, about a shy student Shutu who uses a family trip to escape from his failed semester. Shutus' quiet unraveling is overlooked by his family until the holiday ends with an implosion.",amazon_prime,67.0,tt5918074,Drama
6537,s3429,Movie,A Deadly Legend,Pamela Moriarty,"Kristen Anne Ferraro, Corbin Bersen, Dwayne Thomas, Eric Wolf, Lori Petty",,,2020,18+,97 min,"Action, Horror, Suspense","Joan Huntar (Kristen Anne Ferraro), a developer, buys property with a dark supernatural history. Construction uncovers an ancient Megalith. Deadly spirits wake and battle for this supernatural gateway. Unable to escape, Joan and family must fight for survival.",amazon_prime,16.0,tt10021582,Action
6538,s3430,Movie,A Dangerous Man,Keoni Waxman,"Steven Seagal, Marlaina Mah, Vitaly Kravchenko",,,2010,18+,94 min,"Action, Drama","Ex-soldier Shane Daniels is angry. He just spent six years in prison for a crime he didn't commit and lost his wife during the stretch. Then things get even worse, as Shane gets involved in a shootout with the Chinese mob. Now he's on the run, surrounded by violent cops and crime lords. But he's certainly up for the fight.",amazon_prime,35.0,tt1360767,Action
6540,s3432,Movie,A Christmas Princess,Fred Olen Ray,"Shein Mompremier, Travis Burns, Erin Gray, Galyn Görg",,,2019,,87 min,"Comedy, Romance","Jessica is a struggling chef living in a trendy New York borough. Prince Jack, who's in the city for his family's annual Christmas charity dinner, finds himself in need of a last-minute chef for this royal event when he meets Jessica. His parents, a would-be girlfriend and a pushy socialite (and ex-girlfriend) from Jack's home country all stand in the way. But love is a powerful force.",amazon_prime,19.0,tt10177634,Comedy
6541,s3433,Movie,A Christmas Kiss II,Kevin Connor,"Elisabeth Harnois, Adam Mayfield, Elisabeth Rohm, Lola Glaudini",,,2015,7+,89 min,Comedy,"Jenna Kingston didn't expect to be swept off her feet, but when a handsome stranger encounters her in the elevator and notices the mistletoe hanging above them, sparks fly as he leans in for a kiss. There's just one problem: this man is Cooper Montgomery, a playboy who happens to be part owner of the company for which Jenna works.",amazon_prime,34.0,tt4280430,Comedy
6542,s3434,Movie,A Christmas in Royal Fashion,Fred Olen Ray,,,,2018,13+,86 min,"Comedy, Romance",Handsome prince and fashion assistant fall in love amidst a Christmas fashion show.,amazon_prime,16.0,tt9217732,Comedy
6562,s3454,Movie,6-Headed Shark Attack,Mark Atkins,"Brandon Auret, Cord Newman, Thandi Sebe",,,2018,16+,89 min,"Action, Science Fiction","What is supposed to be a marriage boot camp on a remote island turns into the ultimate test for survival when a 6-headed shark starts attacking the beach. Trapped with minimal weapons they try to fight off the shark, but quickly discover that no one is safe in the water, or on land.",amazon_prime,22.0,tt8360902,Action
6570,s3462,Movie,4/20 Massacre,Dylan Reynolds,"Jamie Bernadette, Vanessa Rose Parker, Stacey Danger, Justine Wachsberger, Marissa Pistone, Jim Storm, James Gregory, Mark Schroeder, Drew Talbert, Jim Round",,,2018,16+,85 min,"Action, Horror, Science Fiction","Over 4/20 weekend, five young women decide to celebrate their friend's birthday by taking a camping trip to a secluded part of a nearby national park. However, their fun is quickly snubbed out when they stumble upon an illegal marijuana grow operation hidden in the greenery and protected by a bloodthirsty maniac.",amazon_prime,27.0,tt5946668,Action
6572,s3464,TV Show,4 Blocks,,"Kida Khodr Ramadan, Veysel Gelin, Maryam Zaree, Almila Bagriacik, Oliver Masucci, Karolina Lodyga, Sami Nasser, Wasiem ""Massiv"" Taha, Rauand Taleb, Eunique Cudjo Berkeley, Ahmed Hafiene, Tilo Nest",,,2018,TV-MA,2 Seasons,TV Shows,"One year has passed since the dramatic showdown with the Cthulhu, and a lot has changed for the Hamadys: Abbas is on trial for murder, Amara has made a new start with Latif, and Toni can finally enter the real-estate business as he had dreamed of.",amazon_prime,69.0,tt5754602,TV Shows
6576,s3468,Movie,306 Hollywood,Elan Bogarín & Jonathan Bogarín,Annette Ontell,,,2018,13+,94 min,Documentary,"When siblings Elan and Jonathan Bogarín undertake an archaeological excavation of their late grandmother's house, they embark on a magical-realist journey in search of what life remains in the objects we leave behind. 306 Hollywood transforms the dusty fragments of an unassuming life into an epic metaphor for the nature of memory, time, and history.",amazon_prime,68.0,tt6296764,Documentary
6594,s3486,TV Show,3 Caminos,,"Andrea Bosca, Álex González, Verónica Echegui",,,2021,,1 Season,TV Shows,"3 Caminos tells the life story of five friends, each one of a different nationality, all of them conected by El Camino in three specific moments of their lives.",amazon_prime,18.0,tt11658082,TV Shows
6598,s3490,Movie,23 Blast,Dylan Baker,"Mark Hapka, Alexa PenaVega, Stephen Lang, Bram Hoover, Max Adler, Becky Ann Baker, Dylan Baker, Kim Zimmer, Timothy Busfield, Fred Dalton Thompson",,,2014,PG-13,99 min,"Drama, Sports","When a high school football star is suddenly stricken with irreversible total blindness, he must decide whether to live a safe handicapped life or bravely return to the life he once knew and the sport he still loves.",amazon_prime,43.0,tt2304459,Drama
6662,s3554,Movie,15 Minutes of War,Fred Grivois,"Alban Lenoir, Olga Kurylenko, Kevin Layne, Michaël Abiteboul, Sébastien Lalanne, David Murgia, Guillaume Labbé, Vincent Perez, Josiane Blasko, Ben Cura, Andre Peirre",,,2019,,98 min,"Action, Drama","Based on the 1976 true story of the Somalian rebel hijacking of a school bus of 21 French children. When diplomacy comes at a stall and time is running out, French captain André Gerval and his team of elite snipers carry out an attack to get the children and their teacher out safely.",amazon_prime,47.0,tt8060774,Action
6669,s3561,Movie,12 Rounds 3: Lockdown,Stephen Reynolds,"Dean Ambrose, Roger Cross, Daniel Cudmore, Lochlyn Munro, Ty Olsson, Sarah Smyth",,,2015,R,90 min,"Action, Adventure, Suspense","With twelve rounds in the clip and one shot at redemption, WWE Superstar Dean Ambrose takes on the dirty cops who framed him for homicide in this action-packed thriller.",amazon_prime,49.0,tt3957956,Action
6670,s3562,Movie,102 Not Out,Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",India,,2018,13+,104 min,"Comedy, Drama","102 Not Out - is an ageless comedy that brings together Indian Cinema’s two biggest stalwarts-Amitabh Bachchan and Rishi Kapoor after 27 years, with the two legends playing father-son duo for the first time.",amazon_prime,68.0,tt6580564,Comedy
6683,s3575,Movie,You and I,Roland Joffé,"Mischa Barton, Anton Yelchin, Shantel VanSanten",,,2012,R,101 min,"Drama, Suspense",Two girls bond as they persevere to become apart of the glamorous lifestyle offered by high society.,amazon_prime,25.0,tt1046171,Drama
