,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
19,s20,TV Show,Beyond Scared Straight,,,United States,15-Oct-21,2011,TV-14,6 Seasons,"Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",hulu,38.0,tt1707374,Documentaries
21,s22,TV Show,Hoarders,,,United States,15-Oct-21,2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,hulu,52.0,tt1497563,Health & Wellness
22,s23,TV Show,Little Women: Atlanta,,,United States,15-Oct-21,2016,TV-14,2 Seasons,"Black Stories, Reality","In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",hulu,14.0,tt5690880,Black Stories
26,s27,Movie,Sleepwalker,,,,15-Oct-21,2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,hulu,22.0,tt4185370,Thriller
27,s28,TV Show,Swamp People,,,United States,15-Oct-21,2010,TV-PG,3 Seasons,"Documentaries, Reality","Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",hulu,46.0,tt1747551,Documentaries
28,s29,TV Show,Unsolved,,,,15-Oct-21,2019,,2 Seasons,"Documentaries, News","More than 750 people are missing from Houston and the surrounding towns of the major Texas city. Among the missing are mothers written off by police as runaways. They are hardworking couples who have been targeted. And they are upstanding members of their community who simply slowed down to give someone a ride. Some have been found, their bodies dumped in the infamous Texas Killing Fields. Others have vanished and their cases gone cold. A year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. But, detectives quietly keep working. They work for the women whose stories are forgotten. They work for the families ripped apart by seemingly random attacks. DNA is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. But when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",hulu,68.0,tt6233618,Documentaries
29,s30,TV Show,Acapulco Shore,,,,14-Oct-21,2014,TV-14,3 Seasons,"Latino, Reality","A group of young Mexicans live together and share fun, drama and a lot of alcohol.",hulu,29.0,tt5459372,Latino
31,s32,Movie,Censor,,,,14-Oct-21,2021,,84 min,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,hulu,65.0,tt10329614,Horror
34,s35,Movie,Out of Death,,,,14-Oct-21,2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis).",hulu,36.0,tt12528166,Thriller
35,s36,TV Show,The Real Housewives of Orange County,,,United States,14-Oct-21,2006,TV-14,15 Seasons,Reality,"The O.C. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy Southern California suburb.",hulu,49.0,tt0497079,Reality
39,s40,TV Show,Dopesick,,,,13-Oct-21,2021,TV-MA,1 Season,Drama,"From Executive Producer Danny Strong and starring and executive produced by Michael Keaton, “Dopesick” examines how one company triggered the worst drug epidemic in American history. The series takes viewers to the epicenter of America’s struggle with opioid addiction, from the boardrooms of Big Pharma, to a distressed Virginia mining community, to the hallways of the DEA. Defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. The limited series is inspired by the New York Times bestselling book by Beth Macy.",hulu,83.0,tt9174558,Drama
42,s43,Movie,The Loneliest Whale: The Search for 52,,,,12-Oct-21,2021,PG,97 min,Documentaries,"A cinematic quest to find the “52 Hertz Whale.” As the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.",hulu,35.0,tt2401814,Documentaries
43,s44,Movie,Gunda,,,,11-Oct-21,2020,G,93 min,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.",hulu,78.0,tt11464016,Documentaries
46,s47,Movie,G.I. Joe: Retaliation,,,,10-Oct-21,2013,PG-13,105 min,"Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.,hulu,47.0,tt1583421,Action
47,s48,Movie,Rogue Hostage,,,,10-Oct-21,2021,,94 min,"Action, Thriller",Child Protective Services officer and former Marine Kyle Snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by Kyle’s controversial stepfather Congressman Sam Nelson.,hulu,35.0,tt13067292,Action
